kind,timestamp,expected_load_mw,exceedance_mw,volatility_mw,range_mw
capacity,2025-01-25 10:00:00,296.15,0.0,,
capacity,2025-01-25 11:00:00,312.72,0.0,,
capacity,2025-01-25 12:00:00,331.31,2.3100000000000023,,
capacity,2025-01-25 13:00:00,344.87,15.870000000000005,,
capacity,2025-01-25 14:00:00,343.81,14.810000000000002,,
capacity,2025-01-25 15:00:00,320.39,0.0,,
stability,2025-01-25 00:00:00,272.23,,3.236936137083269,7.300000000000011
stability,2025-01-25 01:00:00,283.87,,3.197697088009833,7.729999999999961
stability,2025-01-25 04:00:00,283.69,,2.777564880730353,6.649999999999977
stability,2025-01-25 08:00:00,274.82,,2.658123816194849,6.480000000000018
stability,2025-01-25 16:00:00,293.18,,2.505744511229259,6.0
stability,2025-01-25 23:00:00,232.145,,3.4150000000000063,6.8300000000000125
