timestamp,revision_volatility,range,consensus_median
2025-01-25 23:00:00,3.4150000000000063,6.8300000000000125,232.145
2025-01-25 00:00:00,3.236936137083269,7.300000000000011,272.23
2025-01-25 01:00:00,3.197697088009833,7.729999999999961,283.87
2025-01-25 04:00:00,2.777564880730353,6.649999999999977,283.69
2025-01-25 08:00:00,2.658123816194849,6.480000000000018,274.82
2025-01-25 16:00:00,2.505744511229259,6.0,293.18
2025-01-25 22:00:00,2.4200000000000017,4.840000000000003,218.63
2025-01-25 07:00:00,2.0904226048018795,5.1200000000000045,272.08
2025-01-25 15:00:00,2.063314485643601,4.970000000000027,320.39
2025-01-25 02:00:00,2.0380437243156204,4.960000000000036,290.61
