ForeTime,Load
01/11 00,226.23
01/11 01,224.19
01/11 02,216.51
01/11 03,205.66
01/11 04,192.8
01/11 05,180.15
01/11 06,169.58
01/11 07,162.95
01/11 08,159.89
01/11 09,159.72
01/11 10,164.71
01/11 11,174.62
01/11 12,188.64
01/11 13,204.56
01/11 14,218.79
01/11 15,225.51
01/11 16,230.13
01/11 17,231.77
01/11 18,231.34
01/11 19,227.5
01/11 20,226.63
01/11 21,231.13
01/11 22,243.17
01/11 23,257.63
01/12 00,277.07
01/12 01,276.08
01/12 02,270.1
01/12 03,262.69
01/12 04,252.98
01/12 05,247.49
01/12 06,239.0
01/12 07,232.82
01/12 08,231.55
01/12 09,234.26
01/12 10,241.25
01/12 11,258.95
01/12 12,280.34
01/12 13,299.2
01/12 14,307.36
01/12 15,295.69
01/12 16,272.66
01/12 17,251.56
01/12 18,235.63
01/12 19,222.86
01/12 20,213.72
01/12 21,210.14
01/12 22,214.07
01/12 23,229.57
01/13 00,250.38
01/13 01,255.61
01/13 02,255.86
01/13 03,249.37
01/13 04,239.35
01/13 05,228.29
01/13 06,217.95
01/13 07,210.92
01/13 08,208.92
01/13 09,212.49
01/13 10,220.8
01/13 11,236.68
01/13 12,260.48
01/13 13,269.33
01/13 14,265.77
01/13 15,253.98
01/13 16,238.14
01/13 17,226.89
01/13 18,219.49
01/13 19,210.41
01/13 20,208.67
01/13 21,216.34
01/13 22,235.6
01/13 23,259.07
01/14 00,280.09
01/14 01,280.76
01/14 02,274.47
01/14 03,260.01
01/14 04,243.73
01/14 05,229.04
01/14 06,217.41
01/14 07,206.31
01/14 08,200.52
01/14 09,200.09
01/14 10,205.5
01/14 11,222.46
01/14 12,250.11
01/14 13,268.37
01/14 14,271.27
01/14 15,259.82
01/14 16,244.3
01/14 17,228.35
01/14 18,216.15
