timestamp,revision_volatility,range,consensus_median
2025-01-16 13:00:00,7.002520181255383,15.220000000000027,280.46
2025-01-16 12:00:00,6.836680481052198,15.450000000000015,268.72
2025-01-16 11:00:00,6.603960091406426,15.519999999999982,242.54
2025-01-16 10:00:00,5.627020131077875,12.660000000000023,224.0
2025-01-16 14:00:00,5.298735698258607,11.610000000000014,273.54
2025-01-16 09:00:00,4.772674535543168,10.599999999999994,213.15
2025-01-16 18:00:00,4.7491121977340836,11.629999999999995,214.34
2025-01-16 05:00:00,4.719131275987143,11.550000000000011,222.79
2025-01-16 08:00:00,4.639015700196185,11.090000000000003,208.33
2025-01-16 06:00:00,4.449299570344374,10.759999999999993,215.26
