target_timestamp,T2m_init_2025011200,T2m_init_2025011300,T2m_init_2025011400
2025-01-15 00:00:00,282.0013834635417,282.1943359375,282.586669921875
2025-01-15 01:00:00,280.9867350260417,281.2417805989583,281.5972493489583
2025-01-15 02:00:00,280.1727701822917,280.2994791666667,280.7179361979167
2025-01-15 03:00:00,279.3767903645833,279.4178873697917,279.9698079427083
2025-01-15 04:00:00,278.6693522135417,278.7581380208333,279.2787272135417
2025-01-15 05:00:00,278.0973307291667,278.3274739583333,278.5323079427083
2025-01-15 06:00:00,277.5687662760417,277.9697265625,278.1337890625
2025-01-15 07:00:00,277.1355794270833,277.4911295572917,277.9734700520833
2025-01-15 08:00:00,276.8108723958333,277.1376953125,277.98193359375
2025-01-15 09:00:00,276.6847330729167,276.90185546875,277.4481608072917
2025-01-15 10:00:00,276.6744791666667,276.67822265625,277.6630859375
2025-01-15 11:00:00,276.966552734375,276.48583984375,278.3309733072917
2025-01-15 12:00:00,276.9697265625,276.27783203125,277.554443359375
2025-01-15 13:00:00,277.172607421875,276.8116048177083,277.8963216145833
2025-01-15 14:00:00,279.0738118489583,278.9383951822917,280.092041015625
2025-01-15 15:00:00,281.0738932291667,281.0611165364583,282.5935872395833
2025-01-15 16:00:00,283.46875,283.1290690104167,284.834228515625
2025-01-15 17:00:00,285.340576171875,285.3612467447917,286.2361246744792
2025-01-15 18:00:00,286.7318522135417,286.841064453125,287.8772786458333
2025-01-15 19:00:00,,287.7762044270833,288.4200439453125
2025-01-15 20:00:00,,288.0518391927083,288.6472574869792
2025-01-15 21:00:00,,287.7115071614583,288.5225830078125
2025-01-15 22:00:00,,286.7024739583333,287.2268473307292
2025-01-15 23:00:00,,283.5428873697917,284.3506266276042
