target_timestamp,Td2m_init_2025011200,Td2m_init_2025011300,Td2m_init_2025011400
2025-01-15 00:00:00,269.94287109375,271.5691731770833,272.7733561197917
2025-01-15 01:00:00,270.055908203125,271.1031901041667,272.472412109375
2025-01-15 02:00:00,270.0917154947917,270.6478678385417,272.3423665364583
2025-01-15 03:00:00,269.93115234375,270.26416015625,272.0885416666667
2025-01-15 04:00:00,269.7526041666667,269.9554850260417,271.7813313802083
2025-01-15 05:00:00,269.5757649739583,269.74169921875,271.558349609375
2025-01-15 06:00:00,269.3289388020833,269.5648600260417,271.280029296875
2025-01-15 07:00:00,269.087890625,269.307861328125,270.9254557291667
2025-01-15 08:00:00,268.7986653645833,268.9542643229167,270.5719401041667
2025-01-15 09:00:00,268.4991048177083,268.455322265625,270.1376139322917
2025-01-15 10:00:00,268.2762044270833,267.8653157552083,269.6971842447917
2025-01-15 11:00:00,268.23681640625,267.5762532552083,269.25634765625
2025-01-15 12:00:00,268.349365234375,267.6103515625,268.7816569010417
2025-01-15 13:00:00,268.7787272135417,268.2060546875,268.8489583333333
2025-01-15 14:00:00,269.681640625,269.479736328125,270.2334798177083
2025-01-15 15:00:00,270.0912272135417,270.3350423177083,270.9649251302083
2025-01-15 16:00:00,270.8443196614583,271.4440104166667,271.7646484375
2025-01-15 17:00:00,271.6045735677083,272.2172037760417,271.8960774739583
2025-01-15 18:00:00,272.3427734375,272.5851236979167,271.6839192708333
2025-01-15 19:00:00,,272.8692220052083,271.4789225260417
2025-01-15 20:00:00,,273.04833984375,271.6150716145833
2025-01-15 21:00:00,,273.1884765625,271.856689453125
2025-01-15 22:00:00,,275.208984375,275.6329752604167
2025-01-15 23:00:00,,274.9784342447917,274.5135904947917
