target_timestamp,pred_init_2025010600,pred_init_2025010700,pred_init_2025010800
2025-01-09 00:00:00,263.4,272.18,272.7
2025-01-09 01:00:00,268.36,278.29,279.69
2025-01-09 02:00:00,267.4,277.02,279.6
2025-01-09 03:00:00,264.09,271.02,275.8
2025-01-09 04:00:00,258.78,262.65,266.18
2025-01-09 05:00:00,253.46,255.5,259.18
2025-01-09 06:00:00,247.08,248.01,252.58
2025-01-09 07:00:00,241.69,241.16,249.38
2025-01-09 08:00:00,240.45,239.06,249.79
2025-01-09 09:00:00,247.28,244.4,256.66
2025-01-09 10:00:00,263.32,257.93,272.8
2025-01-09 11:00:00,287.21,282.13,295.74
2025-01-09 12:00:00,314.98,309.85,321.57
2025-01-09 13:00:00,336.49,333.47,343.09
2025-01-09 14:00:00,341.63,338.63,350.3
2025-01-09 15:00:00,326.55,322.36,340.43
2025-01-09 16:00:00,300.86,297.86,319.15
2025-01-09 17:00:00,278.5,276.23,294.19
2025-01-09 18:00:00,258.6,256.7,272.65
2025-01-09 19:00:00,,240.18,259.07
2025-01-09 20:00:00,,231.07,245.98
2025-01-09 21:00:00,,229.3,239.15
2025-01-09 22:00:00,,240.82,245.7
2025-01-09 23:00:00,,260.97,265.47
