ForeTime,Load
01/07 00,215.98
01/07 01,218.31
01/07 02,216.69
01/07 03,211.81
01/07 04,204.91
01/07 05,198.15
01/07 06,192.88
01/07 07,189.86
01/07 08,192.24
01/07 09,198.58
01/07 10,213.96
01/07 11,236.77
01/07 12,266.34
01/07 13,286.29
01/07 14,294.75
01/07 15,292.38
01/07 16,277.34
01/07 17,259.92
01/07 18,245.76
01/07 19,234.66
01/07 20,229.18
01/07 21,228.01
01/07 22,238.35
01/07 23,259.08
01/08 00,280.35
01/08 01,285.68
01/08 02,284.92
01/08 03,277.74
01/08 04,270.11
01/08 05,263.24
01/08 06,255.39
01/08 07,247.87
01/08 08,245.47
01/08 09,247.8
01/08 10,256.39
01/08 11,274.72
01/08 12,303.87
01/08 13,326.22
01/08 14,330.21
01/08 15,311.41
01/08 16,281.88
01/08 17,258.94
01/08 18,239.22
01/08 19,225.0
01/08 20,216.63
01/08 21,215.19
01/08 22,225.51
01/08 23,246.69
01/09 00,272.18
01/09 01,278.29
01/09 02,277.02
01/09 03,271.02
01/09 04,262.65
01/09 05,255.5
01/09 06,248.01
01/09 07,241.16
01/09 08,239.06
01/09 09,244.4
01/09 10,257.93
01/09 11,282.13
01/09 12,309.85
01/09 13,333.47
01/09 14,338.63
01/09 15,322.36
01/09 16,297.86
01/09 17,276.23
01/09 18,256.7
01/09 19,240.18
01/09 20,231.07
01/09 21,229.3
01/09 22,240.82
01/09 23,260.97
01/10 00,286.53
01/10 01,295.26
01/10 02,296.75
01/10 03,290.38
01/10 04,283.29
01/10 05,275.73
01/10 06,267.9
01/10 07,262.11
01/10 08,262.64
01/10 09,267.5
01/10 10,283.02
01/10 11,302.13
01/10 12,325.73
01/10 13,340.8
01/10 14,340.1
01/10 15,321.4
01/10 16,288.93
01/10 17,263.93
01/10 18,244.55
