target_timestamp,exceed_prob_proxy,median,capacity_mw
2025-01-14 00:00:00,0.0,280.09,329.0
2025-01-14 01:00:00,0.0,280.76,329.0
2025-01-14 02:00:00,0.0,274.47,329.0
2025-01-14 03:00:00,0.0,260.01,329.0
2025-01-14 04:00:00,0.0,243.73,329.0
2025-01-14 05:00:00,0.0,229.04,329.0
2025-01-14 06:00:00,0.0,217.41,329.0
2025-01-14 07:00:00,0.0,206.31,329.0
2025-01-14 08:00:00,0.0,200.52,329.0
2025-01-14 09:00:00,0.0,200.09,329.0
2025-01-14 10:00:00,0.0,205.5,329.0
2025-01-14 11:00:00,0.0,222.46,329.0
2025-01-14 12:00:00,0.0,250.11,329.0
2025-01-14 13:00:00,0.0,268.37,329.0
2025-01-14 14:00:00,0.0,271.27,329.0
2025-01-14 15:00:00,0.0,259.82,329.0
2025-01-14 16:00:00,0.0,244.3,329.0
2025-01-14 17:00:00,0.0,228.35,329.0
2025-01-14 18:00:00,0.0,216.15,329.0
2025-01-14 19:00:00,0.0,209.35000000000002,329.0
2025-01-14 20:00:00,0.0,203.51999999999998,329.0
2025-01-14 21:00:00,0.0,202.695,329.0
2025-01-14 22:00:00,0.0,209.73,329.0
2025-01-14 23:00:00,0.0,227.575,329.0
