target_timestamp,pred_init_2025011100,pred_init_2025011200,pred_init_2025011300
2025-01-14 00:00:00,280.09,268.05,292.21
2025-01-14 01:00:00,280.76,270.44,290.88
2025-01-14 02:00:00,274.47,265.74,284.18
2025-01-14 03:00:00,260.01,255.47,270.99
2025-01-14 04:00:00,243.73,237.97,250.95
2025-01-14 05:00:00,229.04,223.97,231.77
2025-01-14 06:00:00,217.41,210.99,219.12
2025-01-14 07:00:00,206.31,200.5,210.93
2025-01-14 08:00:00,200.52,195.16,208.11
2025-01-14 09:00:00,200.09,194.15,210.16
2025-01-14 10:00:00,205.5,201.11,219.6
2025-01-14 11:00:00,222.46,218.23,240.62
2025-01-14 12:00:00,250.11,246.61,273.36
2025-01-14 13:00:00,268.37,267.13,294.14
2025-01-14 14:00:00,271.27,270.14,290.95
2025-01-14 15:00:00,259.82,258.32,273.86
2025-01-14 16:00:00,244.3,241.51,252.38
2025-01-14 17:00:00,228.35,226.21,235.88
2025-01-14 18:00:00,216.15,213.91,222.95
2025-01-14 19:00:00,,204.99,213.71
2025-01-14 20:00:00,,199.78,207.26
2025-01-14 21:00:00,,199.59,205.8
2025-01-14 22:00:00,,207.07,212.39
2025-01-14 23:00:00,,224.69,230.46
