timestamp,predicted_load,actual_load,error
2025-01-24 00:00:00,301.06,306.0,-4.939999999999998
2025-01-24 01:00:00,300.79,308.0,-7.2099999999999795
2025-01-24 02:00:00,296.93,307.0,-10.069999999999993
2025-01-24 03:00:00,290.35,303.0,-12.649999999999977
2025-01-24 04:00:00,280.25,296.0,-15.75
2025-01-24 05:00:00,271.14,287.0,-15.860000000000014
2025-01-24 06:00:00,266.38,284.0,-17.620000000000005
2025-01-24 07:00:00,263.1,287.0,-23.899999999999977
2025-01-24 08:00:00,263.04,293.0,-29.95999999999998
2025-01-24 09:00:00,267.91,304.0,-36.089999999999975
2025-01-24 10:00:00,281.58,315.0,-33.420000000000016
2025-01-24 11:00:00,301.95,339.0,-37.05000000000001
2025-01-24 12:00:00,330.49,372.0,-41.50999999999999
2025-01-24 13:00:00,351.44,393.0,-41.56
2025-01-24 14:00:00,356.75,389.0,-32.25
2025-01-24 15:00:00,349.38,358.0,-8.620000000000005
2025-01-24 16:00:00,328.31,325.0,3.3100000000000023
2025-01-24 17:00:00,302.2,295.0,7.199999999999989
2025-01-24 18:00:00,277.28,271.0,6.279999999999973
2025-01-24 19:00:00,260.24,252.0,8.240000000000009
2025-01-24 20:00:00,247.41,247.0,0.4099999999999966
2025-01-24 21:00:00,240.32,257.0,-16.680000000000007
2025-01-24 22:00:00,245.79,267.0,-21.210000000000008
2025-01-24 23:00:00,260.07,278.0,-17.930000000000007
