kind,timestamp,expected_load_mw,exceedance_mw,volatility_mw,range_mw
capacity,2025-01-23 01:00:00,314.7,0.0,,
capacity,2025-01-23 02:00:00,318.05,0.0,,
capacity,2025-01-23 12:00:00,330.39,1.3899999999999864,,
capacity,2025-01-23 13:00:00,342.68,13.680000000000007,,
capacity,2025-01-23 14:00:00,338.32,9.319999999999993,,
capacity,2025-01-23 15:00:00,322.06,0.0,,
stability,2025-01-23 03:00:00,310.96,,9.845016787977334,23.74000000000001
stability,2025-01-23 04:00:00,295.99,,8.963641373162288,21.370000000000005
stability,2025-01-23 05:00:00,286.08,,8.415407826652789,18.78000000000003
stability,2025-01-23 08:00:00,274.05,,8.84764752161086,18.980000000000015
stability,2025-01-23 09:00:00,277.34,,8.38497200684388,19.370000000000005
stability,2025-01-23 10:00:00,288.62,,7.777048854732029,18.95999999999998
