timestamp,variable,n_available,median,q1,q3,iqr,min,max,range,std
2025-01-20 00:00:00,T2m,3,287.82177734375,287.5089111328125,287.92024739583337,0.41133626302087123,287.196044921875,288.0187174479167,0.8226725260416856,0.3507320207664957
2025-01-20 01:00:00,T2m,3,287.208740234375,286.9656982421875,287.21451822916663,0.24881998697912877,286.72265625,287.2202962239583,0.4976399739583144,0.2319139506230602
2025-01-20 02:00:00,T2m,3,286.5523274739583,286.1102294921875,286.59415690104163,0.48392740885412877,285.6681315104167,286.635986328125,0.9678548177083144,0.4378665770890319
2025-01-20 03:00:00,T2m,3,285.0020345052083,284.4910888671875,285.5059814453125,1.014892578125,283.9801432291667,286.0099283854167,2.02978515625,0.8286628877859876
2025-01-20 04:00:00,T2m,3,283.162109375,282.71842447916663,284.06254069010413,1.3441162109375,282.2747395833333,284.9629720052083,2.688232421875,1.118387972538218
2025-01-20 05:00:00,T2m,3,281.634765625,281.03759765625,282.6229248046875,1.5853271484375,280.4404296875,283.611083984375,3.170654296875,1.3074708944922209
2025-01-20 06:00:00,T2m,3,280.1041666666667,279.46492513020837,280.88033040364587,1.4154052734375,278.82568359375,281.656494140625,2.830810546875,1.1574746412599681
2025-01-20 07:00:00,T2m,3,278.8213704427083,278.34623209635413,279.4207763671875,1.0745442708333712,277.87109375,280.0201822916667,2.1490885416666856,0.8793152134745843
2025-01-20 08:00:00,T2m,3,277.575927734375,277.14131673177087,278.135986328125,0.9946695963541288,276.7067057291667,278.696044921875,1.9893391927083144,0.8142945025341903
2025-01-20 09:00:00,T2m,3,276.6707356770833,276.3343505859375,277.05619303385413,0.7218424479166288,275.9979654947917,277.441650390625,1.4436848958333144,0.5898356920168548
2025-01-20 10:00:00,T2m,3,275.8857421875,275.54203287760413,276.133056640625,0.5910237630208712,275.1983235677083,276.38037109375,1.1820475260416856,0.4847036285259096
2025-01-20 11:00:00,T2m,3,275.0677083333333,274.806884765625,275.27933756510413,0.47245279947912877,274.5460611979167,275.490966796875,0.9449055989583144,0.3864525343558901
2025-01-20 12:00:00,T2m,3,274.5413411458333,274.1734212239583,274.71622721354163,0.5428059895833144,273.8055013020833,274.89111328125,1.0856119791666856,0.4524444952666915
2025-01-20 13:00:00,T2m,3,274.1866048177083,273.8577880859375,274.3422444661458,0.4844563802083144,273.5289713541667,274.4978841145833,0.9689127604166288,0.40389334542823785
