target_timestamp,median,q1,q3,min,max
2025-01-22 00:00:00,270.93,263.75,271.57,256.57,272.21
2025-01-22 01:00:00,279.2,271.985,282.26,264.77,285.32
2025-01-22 02:00:00,286.49,277.53499999999997,290.385,268.58,294.28
2025-01-22 03:00:00,286.21,279.135,290.82,272.06,295.43
2025-01-22 04:00:00,278.9,274.17999999999995,283.385,269.46,287.87
2025-01-22 05:00:00,272.72,268.805,276.79,264.89,280.86
2025-01-22 06:00:00,267.47,264.505,271.62,261.54,275.77
2025-01-22 07:00:00,264.02,261.99,266.475,259.96,268.93
2025-01-22 08:00:00,265.32,263.7,267.755,262.08,270.19
2025-01-22 09:00:00,270.5,270.385,273.315,270.27,276.13
2025-01-22 10:00:00,286.77,286.0,289.505,285.23,292.24
2025-01-22 11:00:00,309.17,307.86,311.505,306.55,313.84
2025-01-22 12:00:00,336.46,335.44,338.905,334.42,341.35
2025-01-22 13:00:00,352.09,350.92499999999995,356.075,349.76,360.06
2025-01-22 14:00:00,353.65,353.64,357.79499999999996,353.63,361.94
2025-01-22 15:00:00,343.22,342.155,344.83000000000004,341.09,346.44
2025-01-22 16:00:00,321.41,321.20500000000004,322.145,321.0,322.88
2025-01-22 17:00:00,297.09,295.84,299.03,294.59,300.97
2025-01-22 18:00:00,274.58,274.565,276.845,274.55,279.11
2025-01-22 19:00:00,262.4,262.38,262.42,262.36,262.44
2025-01-22 20:00:00,249.25,249.2,249.3,249.15,249.35
2025-01-22 21:00:00,246.15,245.60500000000002,246.695,245.06,247.24
2025-01-22 22:00:00,258.55,256.075,261.025,253.6,263.5
2025-01-22 23:00:00,277.61,275.21999999999997,280.0,272.83,282.39
