target_timestamp,pred_init_2025011900,pred_init_2025012000,pred_init_2025012100
2025-01-22 00:00:00,272.21,256.57,270.93
2025-01-22 01:00:00,285.32,264.77,279.2
2025-01-22 02:00:00,294.28,268.58,286.49
2025-01-22 03:00:00,295.43,272.06,286.21
2025-01-22 04:00:00,287.87,269.46,278.9
2025-01-22 05:00:00,280.86,264.89,272.72
2025-01-22 06:00:00,275.77,261.54,267.47
2025-01-22 07:00:00,268.93,259.96,264.02
2025-01-22 08:00:00,270.19,262.08,265.32
2025-01-22 09:00:00,276.13,270.27,270.5
2025-01-22 10:00:00,292.24,286.77,285.23
2025-01-22 11:00:00,313.84,309.17,306.55
2025-01-22 12:00:00,341.35,336.46,334.42
2025-01-22 13:00:00,360.06,352.09,349.76
2025-01-22 14:00:00,361.94,353.65,353.63
2025-01-22 15:00:00,346.44,341.09,343.22
2025-01-22 16:00:00,322.88,321.41,321.0
2025-01-22 17:00:00,300.97,294.59,297.09
2025-01-22 18:00:00,279.11,274.58,274.55
2025-01-22 19:00:00,,262.36,262.44
2025-01-22 20:00:00,,249.35,249.15
2025-01-22 21:00:00,,245.06,247.24
2025-01-22 22:00:00,,253.6,263.5
2025-01-22 23:00:00,,272.83,282.39
