target_timestamp,pred_init_2025012200,pred_init_2025012300,pred_init_2025012400
2025-01-25 00:00:00,272.23,271.26,278.56
2025-01-25 01:00:00,283.87,281.1,288.83
2025-01-25 02:00:00,290.61,287.64,292.6
2025-01-25 03:00:00,289.47,288.29,292.99
2025-01-25 04:00:00,283.69,281.61,288.26
2025-01-25 05:00:00,279.19,278.69,282.18
2025-01-25 06:00:00,272.91,275.88,277.15
2025-01-25 07:00:00,269.46,274.58,272.08
2025-01-25 08:00:00,271.03,277.51,274.82
2025-01-25 09:00:00,279.39,283.35,281.8
2025-01-25 10:00:00,296.22,296.15,295.51
2025-01-25 11:00:00,313.09,311.7,312.72
2025-01-25 12:00:00,331.31,331.28,332.56
2025-01-25 13:00:00,344.72,344.87,346.74
2025-01-25 14:00:00,343.81,342.36,344.83
2025-01-25 15:00:00,320.39,318.7,323.67
2025-01-25 16:00:00,293.18,291.3,297.3
2025-01-25 17:00:00,267.54,264.6,268.28
2025-01-25 18:00:00,247.26,246.58,245.56
2025-01-25 19:00:00,,231.29,230.84
2025-01-25 20:00:00,,221.87,221.08
2025-01-25 21:00:00,,218.47,214.96
2025-01-25 22:00:00,,221.05,216.21
2025-01-25 23:00:00,,235.56,228.73
