timestamp,median_load,load_iqr,load_range,exceed_prob_proxy,max_weather_iqr,max_weather_range,HighLoadDisagreement,HighWeatherDisagreement,HighOpsRisk,ops_risk_score
2025-01-14 00:00:00,280.09,12.079999999999984,24.159999999999968,0.0,2.67354361179342,5.347087223586826,True,True,True,0.7625
2025-01-14 01:00:00,280.76,10.21999999999997,20.44,0.0,0.9539856324371101,1.9079712648742202,True,False,False,0.5458333333333333
2025-01-14 02:00:00,274.47,9.220000000000027,18.44,0.0,0.476806640625,0.95361328125,False,False,False,0.3479166666666667
2025-01-14 03:00:00,260.01,7.759999999999991,15.52000000000001,0.0,0.5181477864583712,1.0362955729166856,False,False,False,0.30625
2025-01-14 04:00:00,243.73,6.489999999999981,12.97999999999999,0.0,0.5581461588541288,1.1162923177083144,False,False,False,0.33125
2025-01-14 05:00:00,229.04,3.9000000000000057,7.800000000000011,0.0,0.6087874870335384,1.2175749740670767,False,False,False,0.22499999999999998
2025-01-14 06:00:00,217.41,4.064999999999998,8.129999999999995,0.0,0.547605754143234,1.0952115082864395,False,False,False,0.17083333333333334
2025-01-14 07:00:00,206.31,5.215000000000003,10.430000000000009,0.0,0.446533203125,0.89306640625,False,False,False,0.20208333333333334
2025-01-14 08:00:00,200.52,6.474999999999994,12.950000000000015,0.0,0.5877278645833144,1.1754557291666856,False,False,False,0.3416666666666667
2025-01-14 09:00:00,200.09,8.004999999999995,16.00999999999999,0.0,0.8994954427082575,1.7989908854166288,False,False,False,0.475
2025-01-14 10:00:00,205.5,9.245000000000005,18.48999999999998,0.0,1.1388753255208712,2.2777506510416856,False,False,False,0.55625
2025-01-14 11:00:00,222.46,11.195000000000022,22.390000000000015,0.0,1.124267578125,2.24853515625,True,False,False,0.5979166666666667
2025-01-14 12:00:00,250.11,13.375,26.75,0.0,0.7924397786458144,1.5848795572916856,True,False,False,0.5770833333333334
2025-01-14 13:00:00,268.37,13.504999999999995,27.00999999999999,0.0,0.57568359375,1.1513671875,True,False,False,0.5520833333333334
2025-01-14 14:00:00,271.27,10.40500000000003,20.81,0.0,0.5525716145832575,1.1051432291666288,True,False,False,0.4479166666666667
2025-01-14 15:00:00,259.82,7.770000000000039,15.54000000000002,0.0,0.8040719514193881,1.6081439028387763,False,False,False,0.44166666666666665
2025-01-14 16:00:00,244.3,5.435000000000002,10.870000000000005,0.0,1.3910283604157883,2.7820567208315623,False,False,False,0.46874999999999994
2025-01-14 17:00:00,228.35,4.835000000000008,9.669999999999987,0.0,1.3648474006811142,2.729694801362214,False,False,False,0.4166666666666667
2025-01-14 18:00:00,216.15,4.52000000000001,9.039999999999992,0.0,1.3492239470830327,2.6984478941660797,False,False,False,0.3833333333333333
2025-01-14 19:00:00,209.35,4.359999999999985,8.719999999999999,0.0,1.4806094106261867,2.9612188212524018,False,True,False,0.4229166666666667
2025-01-14 20:00:00,203.52,3.7399999999999807,7.47999999999999,0.0,1.4807558186095662,2.9615116372191608,False,True,False,0.38125
2025-01-14 21:00:00,202.695,3.1049999999999898,6.210000000000008,0.0,1.5364724177639175,3.072944835527835,False,True,False,0.39166666666666666
2025-01-14 22:00:00,209.73,2.660000000000025,5.319999999999993,0.0,1.4920467191651596,2.9840934383303193,False,True,False,0.3395833333333333
2025-01-14 23:00:00,227.575,2.8850000000000193,5.77000000000001,0.0,1.4349516733914385,2.8699033467828627,False,True,False,0.31458333333333327
