target_timestamp,exceed_prob_proxy,median,capacity_mw
2025-01-23 00:00:00,0.0,306.78,329.0
2025-01-23 01:00:00,0.0,314.7,329.0
2025-01-23 02:00:00,0.0,318.05,329.0
2025-01-23 03:00:00,0.0,310.96,329.0
2025-01-23 04:00:00,0.0,295.99,329.0
2025-01-23 05:00:00,0.0,286.08,329.0
2025-01-23 06:00:00,0.0,278.14,329.0
2025-01-23 07:00:00,0.0,272.29,329.0
2025-01-23 08:00:00,0.0,274.05,329.0
2025-01-23 09:00:00,0.0,277.34,329.0
2025-01-23 10:00:00,0.0,288.62,329.0
2025-01-23 11:00:00,0.0,305.97,329.0
2025-01-23 12:00:00,0.6666666666666666,330.39,329.0
2025-01-23 13:00:00,1.0,342.68,329.0
2025-01-23 14:00:00,0.6666666666666666,338.32,329.0
2025-01-23 15:00:00,0.0,322.06,329.0
2025-01-23 16:00:00,0.0,300.09,329.0
2025-01-23 17:00:00,0.0,275.55,329.0
2025-01-23 18:00:00,0.0,257.0,329.0
2025-01-23 19:00:00,0.0,244.48,329.0
2025-01-23 20:00:00,0.0,236.245,329.0
2025-01-23 21:00:00,0.0,235.01,329.0
2025-01-23 22:00:00,0.0,247.065,329.0
2025-01-23 23:00:00,0.0,260.53499999999997,329.0
