target_timestamp,pred_init_2025012000,pred_init_2025012100,pred_init_2025012200
2025-01-23 00:00:00,295.26,306.78,307.06
2025-01-23 01:00:00,302.0,314.7,316.54
2025-01-23 02:00:00,303.37,318.85,318.05
2025-01-23 03:00:00,295.42,319.16,310.96
2025-01-23 04:00:00,280.94,302.31,295.99
2025-01-23 05:00:00,269.33,288.11,286.08
2025-01-23 06:00:00,262.37,278.27,278.14
2025-01-23 07:00:00,257.02,272.52,272.29
2025-01-23 08:00:00,255.5,274.05,274.48
2025-01-23 09:00:00,261.74,277.34,281.11
2025-01-23 10:00:00,277.54,288.62,296.5
2025-01-23 11:00:00,297.68,305.97,312.46
2025-01-23 12:00:00,323.69,330.39,333.56
2025-01-23 13:00:00,334.51,342.68,344.08
2025-01-23 14:00:00,328.9,340.33,338.32
2025-01-23 15:00:00,310.02,323.3,322.06
2025-01-23 16:00:00,288.58,300.09,302.32
2025-01-23 17:00:00,265.48,275.55,281.57
2025-01-23 18:00:00,249.38,257.0,261.57
2025-01-23 19:00:00,,242.29,246.67
2025-01-23 20:00:00,,235.3,237.19
2025-01-23 21:00:00,,236.53,233.49
2025-01-23 22:00:00,,249.91,244.22
2025-01-23 23:00:00,,265.43,255.64
