target_timestamp,median,q1,q3,min,max
2025-01-23 00:00:00,306.78,301.02,306.91999999999996,295.26,307.06
2025-01-23 01:00:00,314.7,308.35,315.62,302.0,316.54
2025-01-23 02:00:00,318.05,310.71000000000004,318.45000000000005,303.37,318.85
2025-01-23 03:00:00,310.96,303.19,315.06,295.42,319.16
2025-01-23 04:00:00,295.99,288.46500000000003,299.15,280.94,302.31
2025-01-23 05:00:00,286.08,277.705,287.095,269.33,288.11
2025-01-23 06:00:00,278.14,270.255,278.205,262.37,278.27
2025-01-23 07:00:00,272.29,264.655,272.405,257.02,272.52
2025-01-23 08:00:00,274.05,264.775,274.265,255.5,274.48
2025-01-23 09:00:00,277.34,269.53999999999996,279.225,261.74,281.11
2025-01-23 10:00:00,288.62,283.08000000000004,292.56,277.54,296.5
2025-01-23 11:00:00,305.97,301.82500000000005,309.21500000000003,297.68,312.46
2025-01-23 12:00:00,330.39,327.03999999999996,331.975,323.69,333.56
2025-01-23 13:00:00,342.68,338.595,343.38,334.51,344.08
2025-01-23 14:00:00,338.32,333.61,339.325,328.9,340.33
2025-01-23 15:00:00,322.06,316.03999999999996,322.68,310.02,323.3
2025-01-23 16:00:00,300.09,294.335,301.205,288.58,302.32
2025-01-23 17:00:00,275.55,270.515,278.56,265.48,281.57
2025-01-23 18:00:00,257.0,253.19,259.28499999999997,249.38,261.57
2025-01-23 19:00:00,244.48,243.385,245.575,242.29,246.67
2025-01-23 20:00:00,236.245,235.7725,236.7175,235.3,237.19
2025-01-23 21:00:00,235.01,234.25,235.77,233.49,236.53
2025-01-23 22:00:00,247.065,245.64249999999998,248.4875,244.22,249.91
2025-01-23 23:00:00,260.53499999999997,258.0875,262.9825,255.64,265.43
