timestamp,init_closest,init_older,delta_load,delta_T2m,delta_Td2m,delta_RH2m
2025-01-09 00:00:00,2025010800,2025010600,9.300000000000011,-0.775146484375,-1.7227376302083712,-1.369926481165976
2025-01-09 01:00:00,2025010800,2025010600,11.329999999999984,-0.814453125,-1.4500325520833712,-0.9409251754833434
2025-01-09 02:00:00,2025010800,2025010600,12.200000000000045,-0.5768229166666288,-1.269287109375,-1.0227701236160982
2025-01-09 03:00:00,2025010800,2025010600,11.710000000000036,-0.4373372395833144,-1.33837890625,-1.3325327722124172
2025-01-09 04:00:00,2025010800,2025010600,7.400000000000034,-0.2886555989583144,-1.2648111979166856,-1.4436752666156707
2025-01-09 05:00:00,2025010800,2025010600,5.719999999999999,-0.22428385416668561,-0.5347493489583144,-0.46507113696581825
2025-01-09 06:00:00,2025010800,2025010600,5.5,-0.3272298177083144,-0.36767578125,-0.07193723277337938
2025-01-09 07:00:00,2025010800,2025010600,7.689999999999998,-0.403076171875,-0.5750325520833144,-0.2669779422928116
2025-01-09 08:00:00,2025010800,2025010600,9.340000000000003,-0.45760091145837123,-0.6748860677083712,-0.3360461127441141
2025-01-09 09:00:00,2025010800,2025010600,9.380000000000024,-0.5374348958333144,-0.7937825520833144,-0.3974943050076689
2025-01-09 10:00:00,2025010800,2025010600,9.480000000000018,-0.7195638020833144,-0.6100260416666856,0.13590840014737182
2025-01-09 11:00:00,2025010800,2025010600,8.53000000000003,-0.8308919270833144,-0.41682942708337123,0.5852099368472494
2025-01-09 12:00:00,2025010800,2025010600,6.589999999999975,-1.1138509114583144,-0.2759602864583144,1.2094645090489138
2025-01-09 13:00:00,2025010800,2025010600,6.599999999999966,-1.3159993489583712,-0.19026692708331439,1.6271742529367401
2025-01-09 14:00:00,2025010800,2025010600,8.670000000000016,-1.5413411458333144,-0.4134114583333144,1.5578447611610216
2025-01-09 15:00:00,2025010800,2025010600,13.879999999999995,-1.6621907552083712,-0.30997721354162877,1.812851234590667
2025-01-09 16:00:00,2025010800,2025010600,18.289999999999964,-1.554931640625,0.1298828125,2.2093029653870246
2025-01-09 17:00:00,2025010800,2025010600,15.689999999999998,-1.303466796875,0.7135416666666856,2.60014869625158
2025-01-09 18:00:00,2025010800,2025010600,14.049999999999955,-1.0723063151041856,1.1578776041666856,2.8301207489134015
2025-01-09 19:00:00,2025010800,2025010600,,,,
2025-01-09 20:00:00,2025010800,2025010600,,,,
2025-01-09 21:00:00,2025010800,2025010600,,,,
2025-01-09 22:00:00,2025010800,2025010600,,,,
2025-01-09 23:00:00,2025010800,2025010600,,,,
