timestamp,revision_volatility,range,consensus_median
2025-01-09 19:00:00,9.444999999999991,18.889999999999983,249.625
2025-01-09 16:00:00,9.409145669093547,21.289999999999964,300.86
2025-01-09 17:00:00,7.985337952912332,17.95999999999998,278.5
2025-01-09 15:00:00,7.722516860885874,18.069999999999993,326.55
2025-01-09 20:00:00,7.454999999999998,14.909999999999997,238.525
2025-01-09 18:00:00,7.113484846871223,15.949999999999989,258.6
2025-01-09 10:00:00,6.146719088713555,14.870000000000005,263.32
2025-01-09 11:00:00,5.615448928328593,13.610000000000014,287.21
2025-01-09 02:00:00,5.249770365348283,12.200000000000044,277.02
2025-01-09 09:00:00,5.234356587861491,12.26000000000002,247.28
