kind,timestamp,expected_load_mw,exceedance_mw,volatility_mw,range_mw
capacity,2025-01-09 11:00:00,287.21,0.0,,
capacity,2025-01-09 12:00:00,314.98,0.0,,
capacity,2025-01-09 13:00:00,336.49,7.490000000000009,,
capacity,2025-01-09 14:00:00,341.63,12.629999999999995,,
capacity,2025-01-09 15:00:00,326.55,0.0,,
capacity,2025-01-09 16:00:00,300.86,0.0,,
stability,2025-01-09 15:00:00,326.55,,7.722516860885874,18.069999999999993
stability,2025-01-09 16:00:00,300.86,,9.409145669093547,21.289999999999964
stability,2025-01-09 17:00:00,278.5,,7.985337952912332,17.95999999999998
stability,2025-01-09 18:00:00,258.6,,7.113484846871223,15.949999999999989
stability,2025-01-09 19:00:00,249.625,,9.444999999999991,18.889999999999983
stability,2025-01-09 20:00:00,238.525,,7.454999999999998,14.909999999999997
