target_timestamp,pred_init_2025011400,pred_init_2025011500,pred_init_2025011600
2025-01-17 00:00:00,230.74,223.96,236.66
2025-01-17 01:00:00,235.17,228.72,240.26
2025-01-17 02:00:00,235.52,229.0,240.07
2025-01-17 03:00:00,233.11,223.8,235.73
2025-01-17 04:00:00,225.63,214.31,227.36
2025-01-17 05:00:00,217.33,204.69,217.79
2025-01-17 06:00:00,209.87,197.35,210.36
2025-01-17 07:00:00,205.39,190.91,204.11
2025-01-17 08:00:00,205.85,190.94,202.4
2025-01-17 09:00:00,212.55,195.24,205.16
2025-01-17 10:00:00,226.87,205.73,216.1
2025-01-17 11:00:00,249.32,225.2,235.14
2025-01-17 12:00:00,280.03,255.44,262.76
2025-01-17 13:00:00,302.22,277.37,283.05
2025-01-17 14:00:00,297.23,277.17,280.69
2025-01-17 15:00:00,272.85,259.83,262.93
2025-01-17 16:00:00,247.83,238.73,239.31
2025-01-17 17:00:00,229.32,223.84,223.97
2025-01-17 18:00:00,215.99,210.69,211.61
2025-01-17 19:00:00,,200.81,202.56
2025-01-17 20:00:00,,194.2,196.7
2025-01-17 21:00:00,,192.36,195.12
2025-01-17 22:00:00,,194.1,197.95
2025-01-17 23:00:00,,202.24,206.56
