target_timestamp,exceed_prob_proxy,median,capacity_mw
2025-01-17 00:00:00,0.0,230.74,329.0
2025-01-17 01:00:00,0.0,235.17,329.0
2025-01-17 02:00:00,0.0,235.52,329.0
2025-01-17 03:00:00,0.0,233.11,329.0
2025-01-17 04:00:00,0.0,225.63,329.0
2025-01-17 05:00:00,0.0,217.33,329.0
2025-01-17 06:00:00,0.0,209.87,329.0
2025-01-17 07:00:00,0.0,204.11,329.0
2025-01-17 08:00:00,0.0,202.4,329.0
2025-01-17 09:00:00,0.0,205.16,329.0
2025-01-17 10:00:00,0.0,216.1,329.0
2025-01-17 11:00:00,0.0,235.14,329.0
2025-01-17 12:00:00,0.0,262.76,329.0
2025-01-17 13:00:00,0.0,283.05,329.0
2025-01-17 14:00:00,0.0,280.69,329.0
2025-01-17 15:00:00,0.0,262.93,329.0
2025-01-17 16:00:00,0.0,239.31,329.0
2025-01-17 17:00:00,0.0,223.97,329.0
2025-01-17 18:00:00,0.0,211.61,329.0
2025-01-17 19:00:00,0.0,201.685,329.0
2025-01-17 20:00:00,0.0,195.45,329.0
2025-01-17 21:00:00,0.0,193.74,329.0
2025-01-17 22:00:00,0.0,196.02499999999998,329.0
2025-01-17 23:00:00,0.0,204.4,329.0
