age_bin,n_points,mae_mw,bias_mw
0-24,72,7.6141666666666685,-2.4097222222222188
24-48,48,13.57541666666667,-1.2104166666666678
48-72,24,12.261249999999999,-12.261249999999999
72-90,0,,
