target_timestamp,pred_init_2025011200,pred_init_2025011300,pred_init_2025011400
2025-01-15 00:00:00,247.81,250.92,252.09
2025-01-15 01:00:00,254.96,254.97,256.28
2025-01-15 02:00:00,256.08,255.57,256.23
2025-01-15 03:00:00,249.18,250.37,248.88
2025-01-15 04:00:00,237.76,238.71,237.4
2025-01-15 05:00:00,228.64,229.9,228.36
2025-01-15 06:00:00,220.88,221.33,219.29
2025-01-15 07:00:00,214.78,214.76,213.89
2025-01-15 08:00:00,215.25,214.47,214.17
2025-01-15 09:00:00,220.81,218.45,219.62
2025-01-15 10:00:00,233.86,232.23,233.53
2025-01-15 11:00:00,254.76,254.39,256.91
2025-01-15 12:00:00,287.84,286.88,288.54
2025-01-15 13:00:00,306.26,307.8,306.91
2025-01-15 14:00:00,302.21,304.25,297.76
2025-01-15 15:00:00,282.18,280.66,274.86
2025-01-15 16:00:00,258.89,258.37,252.89
2025-01-15 17:00:00,239.76,240.63,236.48
2025-01-15 18:00:00,226.04,226.39,221.62
2025-01-15 19:00:00,,214.44,211.17
2025-01-15 20:00:00,,205.84,203.27
2025-01-15 21:00:00,,203.04,199.76
2025-01-15 22:00:00,,207.45,203.89
2025-01-15 23:00:00,,223.26,218.48
