target_timestamp,exceed_prob_proxy,median,capacity_mw
2025-01-15 00:00:00,0.0,250.92,329.0
2025-01-15 01:00:00,0.0,254.97,329.0
2025-01-15 02:00:00,0.0,256.08,329.0
2025-01-15 03:00:00,0.0,249.18,329.0
2025-01-15 04:00:00,0.0,237.76,329.0
2025-01-15 05:00:00,0.0,228.64,329.0
2025-01-15 06:00:00,0.0,220.88,329.0
2025-01-15 07:00:00,0.0,214.76,329.0
2025-01-15 08:00:00,0.0,214.47,329.0
2025-01-15 09:00:00,0.0,219.62,329.0
2025-01-15 10:00:00,0.0,233.53,329.0
2025-01-15 11:00:00,0.0,254.76,329.0
2025-01-15 12:00:00,0.0,287.84,329.0
2025-01-15 13:00:00,0.0,306.91,329.0
2025-01-15 14:00:00,0.0,302.21,329.0
2025-01-15 15:00:00,0.0,280.66,329.0
2025-01-15 16:00:00,0.0,258.37,329.0
2025-01-15 17:00:00,0.0,239.76,329.0
2025-01-15 18:00:00,0.0,226.04,329.0
2025-01-15 19:00:00,0.0,212.805,329.0
2025-01-15 20:00:00,0.0,204.555,329.0
2025-01-15 21:00:00,0.0,201.39999999999998,329.0
2025-01-15 22:00:00,0.0,205.67,329.0
2025-01-15 23:00:00,0.0,220.87,329.0
