ForeTime,Load
01/09 00,271.11
01/09 01,276.36
01/09 02,274.6
01/09 03,269.57
01/09 04,263.63
01/09 05,258.03
01/09 06,254.39
01/09 07,250.72
01/09 08,252.93
01/09 09,262.0
01/09 10,280.7
01/09 11,303.22
01/09 12,330.03
01/09 13,350.01
01/09 14,355.13
01/09 15,343.48
01/09 16,317.5
01/09 17,292.06
01/09 18,271.66
01/09 19,257.79
01/09 20,245.1
01/09 21,238.31
01/09 22,243.96
01/09 23,262.03
01/10 00,286.78
01/10 01,294.54
01/10 02,296.86
01/10 03,293.88
01/10 04,284.92
01/10 05,277.82
01/10 06,270.06
01/10 07,265.0
01/10 08,265.12
01/10 09,271.64
01/10 10,286.56
01/10 11,303.51
01/10 12,326.25
01/10 13,340.72
01/10 14,341.28
01/10 15,326.36
01/10 16,298.68
01/10 17,271.19
01/10 18,249.0
01/10 19,232.43
01/10 20,221.66
01/10 21,217.7
01/10 22,217.71
01/10 23,220.02
01/11 00,224.8
01/11 01,222.79
01/11 02,215.16
01/11 03,202.82
01/11 04,189.95
01/11 05,178.19
01/11 06,167.85
01/11 07,162.78
01/11 08,159.53
01/11 09,158.77
01/11 10,163.61
01/11 11,173.3
01/11 12,185.96
01/11 13,198.32
01/11 14,211.74
01/11 15,221.25
01/11 16,225.61
01/11 17,223.19
01/11 18,218.72
01/11 19,212.8
01/11 20,206.42
01/11 21,202.9
01/11 22,205.98
01/11 23,217.91
01/12 00,235.26
01/12 01,239.18
01/12 02,238.66
01/12 03,233.59
01/12 04,227.56
01/12 05,220.1
01/12 06,212.36
01/12 07,206.47
01/12 08,205.69
01/12 09,212.87
01/12 10,223.88
01/12 11,240.19
01/12 12,259.95
01/12 13,278.41
01/12 14,281.35
01/12 15,269.97
01/12 16,255.66
01/12 17,243.06
01/12 18,233.35
