target_timestamp,Td2m_init_2025010600,Td2m_init_2025010700,Td2m_init_2025010800
2025-01-09 00:00:00,272.0902506510417,270.3535970052083,270.3675130208333
2025-01-09 01:00:00,271.6991373697917,270.6083170572917,270.2491048177083
2025-01-09 02:00:00,271.4503580729167,271.8721516927083,270.1810709635417
2025-01-09 03:00:00,271.5895182291667,272.6178385416667,270.2511393229167
2025-01-09 04:00:00,271.2569986979167,271.5170084635417,269.9921875
2025-01-09 05:00:00,270.2981770833333,269.9278157552083,269.763427734375
2025-01-09 06:00:00,269.9252115885417,269.2654622395833,269.5575358072917
2025-01-09 07:00:00,269.80224609375,269.03662109375,269.2272135416667
2025-01-09 08:00:00,269.5694986979167,268.844482421875,268.8946126302083
2025-01-09 09:00:00,269.2867024739583,268.646484375,268.492919921875
2025-01-09 10:00:00,268.783203125,268.3668619791667,268.1731770833333
2025-01-09 11:00:00,268.2797037760417,267.9995930989583,267.8628743489583
2025-01-09 12:00:00,267.769287109375,267.6558430989583,267.4933268229167
2025-01-09 13:00:00,267.51025390625,267.5681966145833,267.3199869791667
2025-01-09 14:00:00,267.2144368489583,267.3749186197917,266.801025390625
2025-01-09 15:00:00,267.0100911458333,267.082763671875,266.7001139322917
2025-01-09 16:00:00,266.7874348958333,267.150634765625,266.9173177083333
2025-01-09 17:00:00,266.6678059895833,267.2334798177083,267.38134765625
2025-01-09 18:00:00,266.603759765625,267.146484375,267.7616373697917
2025-01-09 19:00:00,,266.8675944010417,267.985107421875
2025-01-09 20:00:00,,266.8096516927083,268.2859700520833
2025-01-09 21:00:00,,266.5326334635417,268.0146484375
2025-01-09 22:00:00,,267.2618001302083,269.0301920572917
2025-01-09 23:00:00,,268.00927734375,269.951171875
