target_timestamp,T2m_init_2025010600,T2m_init_2025010700,T2m_init_2025010800
2025-01-09 00:00:00,280.619384765625,280.039794921875,279.84423828125
2025-01-09 01:00:00,279.9928385416667,279.383056640625,279.1783854166667
2025-01-09 02:00:00,279.0801595052083,278.34912109375,278.5033365885417
2025-01-09 03:00:00,278.12060546875,277.6217447916667,277.6832682291667
2025-01-09 04:00:00,277.412841796875,277.2560221354167,277.1241861979167
2025-01-09 05:00:00,276.9599609375,276.8924153645833,276.7356770833333
2025-01-09 06:00:00,276.6731770833333,276.5564778645833,276.345947265625
2025-01-09 07:00:00,276.3881022135417,276.181640625,275.9850260416667
2025-01-09 08:00:00,276.0343424479167,275.7654622395833,275.5767415364583
2025-01-09 09:00:00,275.59130859375,275.380859375,275.0538736979167
2025-01-09 10:00:00,275.1338704427083,274.96630859375,274.414306640625
2025-01-09 11:00:00,274.6175130208333,274.3802897135417,273.78662109375
2025-01-09 12:00:00,274.197509765625,273.668701171875,273.0836588541667
2025-01-09 13:00:00,274.2533365885417,273.4840494791667,272.9373372395833
2025-01-09 14:00:00,275.932373046875,275.006591796875,274.3910319010417
2025-01-09 15:00:00,277.5243326822917,276.6426595052083,275.8621419270833
2025-01-09 16:00:00,279.2332356770833,278.473388671875,277.6783040364583
2025-01-09 17:00:00,280.8811848958333,280.2469889322917,279.5777180989583
2025-01-09 18:00:00,282.2718912760417,281.71875,281.1995849609375
2025-01-09 19:00:00,,282.75048828125,282.3371988932292
2025-01-09 20:00:00,,283.2552897135417,282.9537353515625
2025-01-09 21:00:00,,283.156982421875,282.9687906901042
2025-01-09 22:00:00,,282.1704915364583,282.0618082682292
2025-01-09 23:00:00,,279.18017578125,278.89990234375
