age_bin,n_points,mae_mw,bias_mw
0-24,72,8.265694444444444,-2.0318055555555574
24-48,48,10.134999999999996,-3.0562499999999972
48-72,24,4.022916666666663,-3.21708333333333
72-90,0,,
