target_timestamp,Td2m_init_2025010700,Td2m_init_2025010800,Td2m_init_2025010900
2025-01-10 00:00:00,268.240966796875,270.0546061197917,269.0477701822917
2025-01-10 01:00:00,268.02880859375,270.498046875,269.7664388020833
2025-01-10 02:00:00,267.83349609375,270.996337890625,270.263427734375
2025-01-10 03:00:00,267.744384765625,271.2635904947917,270.57275390625
2025-01-10 04:00:00,267.7578938802083,271.4325358072917,270.6802571614583
2025-01-10 05:00:00,267.9806315104167,271.7483723958333,270.681640625
2025-01-10 06:00:00,268.4087727864583,271.716064453125,270.6902669270833
2025-01-10 07:00:00,268.8019205729167,271.7692057291667,270.8910319010417
2025-01-10 08:00:00,268.6575520833333,271.7161458333333,271.1310221354167
2025-01-10 09:00:00,268.3169759114583,271.8390299479167,271.5994466145833
2025-01-10 10:00:00,267.7600911458333,271.979736328125,271.8345540364583
2025-01-10 11:00:00,267.5018717447917,271.5789388020833,271.54443359375
2025-01-10 12:00:00,267.7195638020833,270.642333984375,271.072265625
2025-01-10 13:00:00,268.5428059895833,270.980712890625,271.581787109375
2025-01-10 14:00:00,270.1378580729167,272.587890625,273.6560872395833
2025-01-10 15:00:00,271.944580078125,274.2766927083333,275.81103515625
2025-01-10 16:00:00,273.525634765625,276.047119140625,277.9508463541667
2025-01-10 17:00:00,274.4969889322917,277.3380533854167,279.0609537760417
2025-01-10 18:00:00,275.1534016927083,278.39794921875,279.7364095052083
2025-01-10 19:00:00,,279.156005859375,280.344970703125
2025-01-10 20:00:00,,279.7057291666667,280.8391927083333
2025-01-10 21:00:00,,280.169677734375,280.5074055989583
2025-01-10 22:00:00,,280.82275390625,281.6082763671875
2025-01-10 23:00:00,,280.8197428385417,281.5113932291667
