timestamp,median,q1,q3,min,max
2025-01-25 00:00:00,279.390869140625,279.21708170572913,279.9425048828125,279.0432942708333,280.494140625
2025-01-25 01:00:00,277.55859375,277.45328776041663,277.68257649739587,277.3479817708333,277.8065592447917
2025-01-25 02:00:00,276.2000325520833,276.17822265625,276.3111165364583,276.1564127604167,276.4222005208333
2025-01-25 03:00:00,275.4302571614583,275.3040771484375,275.50439453125,275.1778971354167,275.5785319010417
2025-01-25 04:00:00,274.8711751302083,274.7242431640625,274.946044921875,274.5773111979167,275.0209147135417
2025-01-25 05:00:00,274.3832194010417,274.2012125651042,274.41621907552087,274.0192057291667,274.44921875
2025-01-25 06:00:00,273.578125,273.55810546875,273.6619873046875,273.5380859375,273.745849609375
2025-01-25 07:00:00,273.201904296875,273.1778564453125,273.25126139322913,273.15380859375,273.3006184895833
2025-01-25 08:00:00,272.9213053385417,272.8966064453125,273.00056966145837,272.8719075520833,273.079833984375
2025-01-25 09:00:00,272.6879069010417,272.5709635416667,272.79341634114587,272.4540201822917,272.89892578125
2025-01-25 10:00:00,272.4412434895833,272.2360432942708,272.5672200520833,272.0308430989583,272.6931966145833
2025-01-25 11:00:00,272.2240397135417,272.14046223958337,272.422119140625,272.056884765625,272.6201985677083
2025-01-25 12:00:00,272.124267578125,272.10050455729163,272.32246907552087,272.0767415364583,272.5206705729167
2025-01-25 13:00:00,272.9690755208333,272.80729166666663,273.1098225911458,272.6455078125,273.2505696614583
2025-01-25 14:00:00,276.5624186197917,276.2914225260417,276.75008138020837,276.0204264322917,276.937744140625
2025-01-25 15:00:00,280.2332356770833,279.94401041666663,280.49979654947913,279.65478515625,280.766357421875
2025-01-25 16:00:00,282.6951497395833,282.4837646484375,282.9676106770833,282.2723795572917,283.2400716145833
2025-01-25 17:00:00,284.2996419270833,284.1531575520833,284.609130859375,284.0066731770833,284.9186197916667
2025-01-25 18:00:00,285.531005859375,285.39754231770837,285.8885701497396,285.2640787760417,286.2461344401042
2025-01-25 19:00:00,286.7562459309896,286.5657043457031,286.94678751627606,286.3751627604167,287.1373291015625
2025-01-25 20:00:00,287.1779378255208,286.9897054036458,287.3661702473958,286.8014729817708,287.5544026692708
2025-01-25 21:00:00,287.0583699544271,286.8830261230469,287.2337137858073,286.7076822916667,287.4090576171875
2025-01-25 22:00:00,286.05891927083337,285.899169921875,286.2186686197917,285.7394205729167,286.37841796875
2025-01-25 23:00:00,282.65694173177087,282.49473063151044,282.81915283203125,282.33251953125,282.9813639322917
