timestamp,median,q1,q3,min,max
2025-01-25 00:00:00,267.1586100260417,266.98116048177087,267.3403727213542,266.8037109375,267.5221354166667
2025-01-25 01:00:00,267.345458984375,267.05318196614587,267.546630859375,266.7609049479167,267.747802734375
2025-01-25 02:00:00,267.597412109375,267.2742919921875,267.76387532552087,266.951171875,267.9303385416667
2025-01-25 03:00:00,267.7911783854167,267.4140625,267.8971354166667,267.0369466145833,268.0030924479167
2025-01-25 04:00:00,267.989501953125,267.48368326822913,268.0531005859375,266.9778645833333,268.11669921875
2025-01-25 05:00:00,268.1913248697917,267.6235758463542,268.2578125,267.0558268229167,268.3243001302083
2025-01-25 06:00:00,268.4210611979167,267.8514811197917,268.4597574869792,267.2819010416667,268.4984537760417
2025-01-25 07:00:00,268.4811197916667,267.9674072265625,268.5108642578125,267.4536946614583,268.5406087239583
2025-01-25 08:00:00,268.47607421875,268.00789388020837,268.4893798828125,267.5397135416667,268.502685546875
2025-01-25 09:00:00,268.35498046875,267.95792643229163,268.41621907552087,267.5608723958333,268.4774576822917
2025-01-25 10:00:00,268.24755859375,267.88899739583337,268.38130696614587,267.5304361979167,268.5150553385417
2025-01-25 11:00:00,268.2433268229167,267.8464762369792,268.42159016927087,267.4496256510417,268.599853515625
2025-01-25 12:00:00,268.3653971354167,267.8264567057292,268.52132161458337,267.2875162760417,268.67724609375
2025-01-25 13:00:00,268.7997233072917,268.1250406901042,268.9000651041667,267.4503580729167,269.0004069010417
2025-01-25 14:00:00,270.254638671875,269.48531087239587,270.29825846354163,268.7159830729167,270.3418782552083
2025-01-25 15:00:00,270.4811197916667,269.6162516276042,270.63228352864587,268.7513834635417,270.783447265625
2025-01-25 16:00:00,269.0657552083333,268.34476725260413,269.2281087239583,267.623779296875,269.3904622395833
2025-01-25 17:00:00,269.5439453125,269.12581380208337,270.11673990885413,268.7076822916667,270.6895345052083
2025-01-25 18:00:00,270.2618001302083,270.11112467447913,271.23942057291663,269.96044921875,272.217041015625
2025-01-25 19:00:00,272.0178629557292,271.50498453776044,272.53074137369794,270.9921061197917,273.0436197916667
2025-01-25 20:00:00,272.60294596354163,272.0990804036458,273.1068115234375,271.59521484375,273.6106770833333
2025-01-25 21:00:00,273.16215006510413,272.72646077473956,273.59783935546875,272.290771484375,274.0335286458333
2025-01-25 22:00:00,274.72745768229163,274.42333984375,275.0315755208333,274.1192220052083,275.335693359375
2025-01-25 23:00:00,274.8088785807292,274.49546305338544,275.12229410807294,274.1820475260417,275.4357096354167
