target_timestamp,pred_init_2025011300,pred_init_2025011400,pred_init_2025011500
2025-01-16 00:00:00,244.94,239.82,243.3
2025-01-16 01:00:00,249.35,248.49,247.71
2025-01-16 02:00:00,248.64,248.87,247.28
2025-01-16 03:00:00,242.11,243.71,239.29
2025-01-16 04:00:00,232.42,235.73,227.85
2025-01-16 05:00:00,222.79,228.97,217.42
2025-01-16 06:00:00,215.26,219.14,208.38
2025-01-16 07:00:00,208.74,213.0,202.71
2025-01-16 08:00:00,208.33,211.73,200.64
2025-01-16 09:00:00,213.15,214.18,203.58
2025-01-16 10:00:00,225.61,224.0,212.95
2025-01-16 11:00:00,246.35,242.54,230.83
2025-01-16 12:00:00,270.85,268.72,255.4
2025-01-16 13:00:00,281.22,280.46,266.0
2025-01-16 14:00:00,273.54,274.32,262.71
2025-01-16 15:00:00,257.9,256.18,249.65
2025-01-16 16:00:00,243.58,239.83,233.84
2025-01-16 17:00:00,230.44,226.45,220.4
2025-01-16 18:00:00,220.38,214.34,208.75
2025-01-16 19:00:00,,204.66,200.04
2025-01-16 20:00:00,,199.37,194.79
2025-01-16 21:00:00,,197.6,194.31
2025-01-16 22:00:00,,202.23,198.08
2025-01-16 23:00:00,,213.49,207.98
