target_timestamp,median,q1,q3,min,max
2025-01-16 00:00:00,243.3,241.56,244.12,239.82,244.94
2025-01-16 01:00:00,248.49,248.10000000000002,248.92000000000002,247.71,249.35
2025-01-16 02:00:00,248.64,247.95999999999998,248.755,247.28,248.87
2025-01-16 03:00:00,242.11,240.7,242.91000000000003,239.29,243.71
2025-01-16 04:00:00,232.42,230.135,234.075,227.85,235.73
2025-01-16 05:00:00,222.79,220.105,225.88,217.42,228.97
2025-01-16 06:00:00,215.26,211.82,217.2,208.38,219.14
2025-01-16 07:00:00,208.74,205.72500000000002,210.87,202.71,213.0
2025-01-16 08:00:00,208.33,204.485,210.03,200.64,211.73
2025-01-16 09:00:00,213.15,208.365,213.66500000000002,203.58,214.18
2025-01-16 10:00:00,224.0,218.475,224.805,212.95,225.61
2025-01-16 11:00:00,242.54,236.685,244.445,230.83,246.35
2025-01-16 12:00:00,268.72,262.06,269.785,255.4,270.85
2025-01-16 13:00:00,280.46,273.23,280.84000000000003,266.0,281.22
2025-01-16 14:00:00,273.54,268.125,273.93,262.71,274.32
2025-01-16 15:00:00,256.18,252.91500000000002,257.03999999999996,249.65,257.9
2025-01-16 16:00:00,239.83,236.835,241.705,233.84,243.58
2025-01-16 17:00:00,226.45,223.425,228.445,220.4,230.44
2025-01-16 18:00:00,214.34,211.54500000000002,217.36,208.75,220.38
2025-01-16 19:00:00,202.35,201.195,203.505,200.04,204.66
2025-01-16 20:00:00,197.07999999999998,195.935,198.225,194.79,199.37
2025-01-16 21:00:00,195.95499999999998,195.1325,196.7775,194.31,197.6
2025-01-16 22:00:00,200.155,199.1175,201.1925,198.08,202.23
2025-01-16 23:00:00,210.735,209.3575,212.1125,207.98,213.49
