kind,timestamp,expected_load_mw,exceedance_mw,volatility_mw,range_mw
capacity,2025-01-10 02:00:00,296.86,0.0,,
capacity,2025-01-10 11:00:00,303.33,0.0,,
capacity,2025-01-10 12:00:00,325.73,0.0,,
capacity,2025-01-10 13:00:00,340.72,11.720000000000027,,
capacity,2025-01-10 14:00:00,340.1,11.100000000000023,,
capacity,2025-01-10 15:00:00,321.4,0.0,,
stability,2025-01-10 03:00:00,,,3.852721981491368,9.340000000000032
stability,2025-01-10 15:00:00,,,5.778150415333818,13.960000000000036
stability,2025-01-10 16:00:00,,,5.982799419075404,14.350000000000025
stability,2025-01-10 17:00:00,,,6.257205624096286,15.319999999999991
stability,2025-01-10 18:00:00,,,5.0894029337656335,12.310000000000002
stability,2025-01-10 19:00:00,,,4.344999999999999,8.689999999999998
