timestamp,revision_volatility,range,consensus_median
2025-01-10 17:00:00,6.257205624096286,15.319999999999991,263.93
2025-01-10 16:00:00,5.982799419075404,14.350000000000025,288.93
2025-01-10 15:00:00,5.778150415333818,13.960000000000036,321.4
2025-01-10 18:00:00,5.0894029337656335,12.310000000000002,244.55
2025-01-10 19:00:00,4.344999999999999,8.689999999999998,228.085
2025-01-10 03:00:00,3.852721981491368,9.340000000000032,293.88
2025-01-10 20:00:00,3.640000000000001,7.280000000000001,218.02
2025-01-10 02:00:00,3.5994536622474578,7.689999999999998,296.86
2025-01-10 21:00:00,3.594999999999999,7.189999999999998,214.105
2025-01-10 14:00:00,3.0691728889429184,7.019999999999982,340.1
