ForeTime,Load
01/21 00,296.67
01/21 01,297.94
01/21 02,295.24
01/21 03,288.17
01/21 04,274.96
01/21 05,263.03
01/21 06,252.3
01/21 07,242.91
01/21 08,240.86
01/21 09,245.61
01/21 10,256.59
01/21 11,275.35
01/21 12,300.45
01/21 13,315.38
01/21 14,315.91
01/21 15,305.19
01/21 16,285.21
01/21 17,262.36
01/21 18,244.3
01/21 19,231.05
01/21 20,222.0
01/21 21,220.64
01/21 22,229.66
01/21 23,248.44
01/22 00,270.93
01/22 01,279.2
01/22 02,286.49
01/22 03,286.21
01/22 04,278.9
01/22 05,272.72
01/22 06,267.47
01/22 07,264.02
01/22 08,265.32
01/22 09,270.5
01/22 10,285.23
01/22 11,306.55
01/22 12,334.42
01/22 13,349.76
01/22 14,353.63
01/22 15,343.22
01/22 16,321.0
01/22 17,297.09
01/22 18,274.55
01/22 19,262.44
01/22 20,249.15
01/22 21,247.24
01/22 22,263.5
01/22 23,282.39
01/23 00,306.78
01/23 01,314.7
01/23 02,318.85
01/23 03,319.16
01/23 04,302.31
01/23 05,288.11
01/23 06,278.27
01/23 07,272.52
01/23 08,274.05
01/23 09,277.34
01/23 10,288.62
01/23 11,305.97
01/23 12,330.39
01/23 13,342.68
01/23 14,340.33
01/23 15,323.3
01/23 16,300.09
01/23 17,275.55
01/23 18,257.0
01/23 19,242.29
01/23 20,235.3
01/23 21,236.53
01/23 22,249.91
01/23 23,265.43
01/24 00,281.2
01/24 01,281.75
01/24 02,275.18
01/24 03,264.16
01/24 04,253.48
01/24 05,245.96
01/24 06,239.1
01/24 07,233.88
01/24 08,233.05
01/24 09,236.25
01/24 10,247.79
01/24 11,271.08
01/24 12,298.34
01/24 13,320.39
01/24 14,331.39
01/24 15,322.27
01/24 16,296.25
01/24 17,270.97
01/24 18,252.52
