timestamp,T2m,Td2m,RH2m
2025-01-14 00:00:00,281.2141927083333,280.864990234375,99.45701402094505
2025-01-14 01:00:00,280.7652994791667,280.5052897135417,99.59526840848851
2025-01-14 02:00:00,280.46435546875,280.246337890625,99.65967997262361
2025-01-14 03:00:00,280.8382975260417,280.2969563802083,99.15794826607318
2025-01-14 04:00:00,280.9715983072917,280.4501953125,99.18915416586894
2025-01-14 05:00:00,280.8653971354167,280.33447265625,99.17407917440835
2025-01-14 06:00:00,280.2599283854167,279.857177734375,99.37192665366352
2025-01-14 07:00:00,279.9677734375,279.5464680989583,99.34198586635466
2025-01-14 08:00:00,279.9296875,279.3793131510417,99.14089230933011
2025-01-14 09:00:00,280.3467610677083,279.0023600260417,97.91450670211422
2025-01-14 10:00:00,279.8365071614583,278.1830240885417,97.43622046640928
2025-01-14 11:00:00,278.876953125,277.4295247395833,97.74480603472098
2025-01-14 12:00:00,278.3557942708333,276.9142252604167,97.74864545543524
2025-01-14 13:00:00,278.563232421875,276.6141764322917,96.96738336185918
2025-01-14 14:00:00,280.5283203125,276.7737630208333,94.2627684755844
2025-01-14 15:00:00,282.552001953125,276.6775716145833,91.20068535222596
2025-01-14 16:00:00,284.551513671875,276.3045247395833,87.9060110034298
2025-01-14 17:00:00,286.0543619791667,275.6978352864583,85.07682175416215
2025-01-14 18:00:00,287.3435872395833,274.5750325520833,81.9384229714368
2025-01-14 19:00:00,288.300048828125,273.2379557291667,79.04358663755875
2025-01-14 20:00:00,288.7285970052083,272.435302734375,77.5236170655978
2025-01-14 21:00:00,288.4669189453125,272.0642903645833,77.36758508943865
2025-01-14 22:00:00,287.0928955078125,273.0498046875,80.26574476704417
2025-01-14 23:00:00,283.8631184895833,272.9800618489583,84.24491120475074
2025-01-15 00:00:00,282.586669921875,272.7733561197917,85.639905920884
2025-01-15 01:00:00,281.5972493489583,272.472412109375,86.54437369658255
2025-01-15 02:00:00,280.7179361979167,272.3423665364583,87.55489255234811
2025-01-15 03:00:00,279.9698079427083,272.0885416666667,88.22329726460919
2025-01-15 04:00:00,279.2787272135417,271.7813313802083,88.7438673899173
