ForeTime,Load
01/14 00,293.91
01/14 01,290.46
01/14 02,282.66
01/14 03,269.7
01/14 04,251.93
01/14 05,234.38
01/14 06,221.71
01/14 07,213.29
01/14 08,209.09
01/14 09,208.72
01/14 10,216.64
01/14 11,235.09
01/14 12,266.22
01/14 13,285.35
01/14 14,283.95
01/14 15,267.22
01/14 16,247.41
01/14 17,232.95
01/14 18,222.47
01/14 19,211.93
01/14 20,205.22
01/14 21,204.66
01/14 22,212.54
01/14 23,230.58
01/15 00,252.09
01/15 01,256.28
01/15 02,256.23
01/15 03,248.88
01/15 04,237.4
01/15 05,228.36
01/15 06,219.29
01/15 07,213.89
01/15 08,214.17
01/15 09,219.62
01/15 10,233.53
01/15 11,256.91
01/15 12,288.54
01/15 13,306.91
01/15 14,297.76
01/15 15,274.86
01/15 16,252.89
01/15 17,236.48
01/15 18,221.62
01/15 19,211.17
01/15 20,203.27
01/15 21,199.76
01/15 22,203.89
01/15 23,218.48
01/16 00,239.82
01/16 01,248.49
01/16 02,248.87
01/16 03,243.71
01/16 04,235.73
01/16 05,228.97
01/16 06,219.14
01/16 07,213.0
01/16 08,211.73
01/16 09,214.18
01/16 10,224.0
01/16 11,242.54
01/16 12,268.72
01/16 13,280.46
01/16 14,274.32
01/16 15,256.18
01/16 16,239.83
01/16 17,226.45
01/16 18,214.34
01/16 19,204.66
01/16 20,199.37
01/16 21,197.6
01/16 22,202.23
01/16 23,213.49
01/17 00,230.74
01/17 01,235.17
01/17 02,235.52
01/17 03,233.11
01/17 04,225.63
01/17 05,217.33
01/17 06,209.87
01/17 07,205.39
01/17 08,205.85
01/17 09,212.55
01/17 10,226.87
01/17 11,249.32
01/17 12,280.03
01/17 13,302.22
01/17 14,297.23
01/17 15,272.85
01/17 16,247.83
01/17 17,229.32
01/17 18,215.99
