ForeTime,Load
01/19 00,214.92
01/19 01,215.73
01/19 02,211.92
01/19 03,202.6
01/19 04,189.84
01/19 05,177.71
01/19 06,165.91
01/19 07,157.57
01/19 08,152.09
01/19 09,147.79
01/19 10,147.3
01/19 11,150.9
01/19 12,158.28
01/19 13,165.71
01/19 14,177.54
01/19 15,186.71
01/19 16,191.68
01/19 17,194.85
01/19 18,195.78
01/19 19,196.97
01/19 20,197.47
01/19 21,198.73
01/19 22,204.62
01/19 23,214.69
01/20 00,225.94
01/20 01,224.86
01/20 02,219.14
01/20 03,209.71
01/20 04,198.92
01/20 05,188.47
01/20 06,181.93
01/20 07,178.46
01/20 08,178.7
01/20 09,185.35
01/20 10,196.94
01/20 11,217.57
01/20 12,246.74
01/20 13,271.12
01/20 14,285.49
01/20 15,294.49
01/20 16,293.47
01/20 17,280.84
01/20 18,264.05
01/20 19,253.46
01/20 20,245.16
01/20 21,244.67
01/20 22,257.2
01/20 23,275.11
01/21 00,298.67
01/21 01,305.37
01/21 02,306.85
01/21 03,300.19
01/21 04,283.74
01/21 05,271.14
01/21 06,258.26
01/21 07,248.96
01/21 08,245.11
01/21 09,248.59
01/21 10,256.34
01/21 11,271.28
01/21 12,295.48
01/21 13,309.87
01/21 14,305.01
01/21 15,285.83
01/21 16,261.91
01/21 17,246.09
01/21 18,233.07
01/21 19,222.17
01/21 20,213.99
01/21 21,212.22
01/21 22,223.76
01/21 23,246.36
01/22 00,272.21
01/22 01,285.32
01/22 02,294.28
01/22 03,295.43
01/22 04,287.87
01/22 05,280.86
01/22 06,275.77
01/22 07,268.93
01/22 08,270.19
01/22 09,276.13
01/22 10,292.24
01/22 11,313.84
01/22 12,341.35
01/22 13,360.06
01/22 14,361.94
01/22 15,346.44
01/22 16,322.88
01/22 17,300.97
01/22 18,279.11
