timestamp,predicted_load,actual_load,error
2025-01-18 00:00:00,229.91,233.0,-3.0900000000000034
2025-01-18 01:00:00,229.5,235.0,-5.5
2025-01-18 02:00:00,224.37,231.0,-6.6299999999999955
2025-01-18 03:00:00,216.04,224.0,-7.960000000000008
2025-01-18 04:00:00,203.73,214.0,-10.27000000000001
2025-01-18 05:00:00,191.27,201.0,-9.72999999999999
2025-01-18 06:00:00,178.17,187.0,-8.830000000000013
2025-01-18 07:00:00,168.97,178.0,-9.030000000000001
2025-01-18 08:00:00,163.38,171.0,-7.6200000000000045
2025-01-18 09:00:00,160.03,167.0,-6.969999999999999
2025-01-18 10:00:00,160.25,166.0,-5.75
2025-01-18 11:00:00,168.04,170.0,-1.960000000000008
2025-01-18 12:00:00,180.71,179.0,1.710000000000008
2025-01-18 13:00:00,192.04,188.0,4.039999999999992
2025-01-18 14:00:00,201.62,195.0,6.6200000000000045
2025-01-18 15:00:00,205.0,196.0,9.0
2025-01-18 16:00:00,205.37,193.0,12.370000000000005
2025-01-18 17:00:00,205.58,193.0,12.580000000000013
2025-01-18 18:00:00,206.01,188.0,18.00999999999999
2025-01-18 19:00:00,205.15,198.0,7.150000000000006
2025-01-18 20:00:00,204.43,196.0,8.430000000000007
2025-01-18 21:00:00,203.49,197.0,6.490000000000009
2025-01-18 22:00:00,204.98,200.0,4.97999999999999
2025-01-18 23:00:00,211.41,206.0,5.409999999999997
