ForeTime,Load
01/02 00,206.97
01/02 01,212.01
01/02 02,210.54
01/02 03,203.5
01/02 04,192.58
01/02 05,180.9
01/02 06,171.05
01/02 07,165.02
01/02 08,163.83
01/02 09,166.54
01/02 10,175.08
01/02 11,191.28
01/02 12,217.25
01/02 13,234.78
01/02 14,243.82
01/02 15,236.98
01/02 16,224.41
01/02 17,209.87
01/02 18,197.8
01/02 19,191.49
01/02 20,187.69
01/02 21,187.67
01/02 22,191.63
01/02 23,204.31
01/03 00,221.61
01/03 01,226.34
01/03 02,224.88
01/03 03,219.65
01/03 04,211.36
01/03 05,200.51
01/03 06,192.83
01/03 07,187.89
01/03 08,188.49
01/03 09,191.5
01/03 10,201.99
01/03 11,221.15
01/03 12,249.45
01/03 13,271.24
01/03 14,271.98
01/03 15,255.64
01/03 16,235.19
01/03 17,218.97
01/03 18,206.32
01/03 19,196.11
01/03 20,191.05
01/03 21,190.12
01/03 22,192.66
01/03 23,203.88
01/04 00,219.42
01/04 01,221.92
01/04 02,221.0
01/04 03,213.29
01/04 04,202.53
01/04 05,193.51
01/04 06,185.61
01/04 07,179.08
01/04 08,177.46
01/04 09,178.37
01/04 10,182.58
01/04 11,194.57
01/04 12,209.15
01/04 13,225.69
01/04 14,237.24
01/04 15,237.14
01/04 16,229.63
01/04 17,218.0
01/04 18,206.0
01/04 19,196.25
01/04 20,191.51
01/04 21,191.74
01/04 22,196.15
01/04 23,208.36
01/05 00,225.03
01/05 01,232.16
01/05 02,232.5
01/05 03,227.37
01/05 04,219.95
01/05 05,214.44
01/05 06,207.54
01/05 07,203.73
01/05 08,205.65
01/05 09,213.48
01/05 10,222.23
01/05 11,236.58
01/05 12,253.26
01/05 13,266.25
01/05 14,266.24
01/05 15,250.88
01/05 16,232.89
01/05 17,218.31
01/05 18,206.29
