ForeTime,Load
01/18 00,229.91
01/18 01,229.5
01/18 02,224.37
01/18 03,216.04
01/18 04,203.73
01/18 05,191.27
01/18 06,178.17
01/18 07,168.97
01/18 08,163.38
01/18 09,160.03
01/18 10,160.25
01/18 11,168.04
01/18 12,180.71
01/18 13,192.04
01/18 14,201.62
01/18 15,205.0
01/18 16,205.37
01/18 17,205.58
01/18 18,206.01
01/18 19,205.15
01/18 20,204.43
01/18 21,203.49
01/18 22,204.98
01/18 23,211.41
01/19 00,219.57
01/19 01,219.64
01/19 02,213.5
01/19 03,202.71
01/19 04,189.09
01/19 05,176.73
01/19 06,165.45
01/19 07,156.61
01/19 08,150.62
01/19 09,146.33
01/19 10,144.25
01/19 11,147.07
01/19 12,155.8
01/19 13,165.62
01/19 14,178.47
01/19 15,186.65
01/19 16,191.96
01/19 17,195.84
01/19 18,198.92
01/19 19,201.03
01/19 20,202.46
01/19 21,204.44
01/19 22,208.58
01/19 23,217.21
01/20 00,226.75
01/20 01,226.1
01/20 02,219.56
01/20 03,209.47
01/20 04,196.42
01/20 05,184.5
01/20 06,176.85
01/20 07,172.91
01/20 08,172.29
01/20 09,176.85
01/20 10,188.63
01/20 11,209.66
01/20 12,238.11
01/20 13,259.81
01/20 14,277.5
01/20 15,287.96
01/20 16,287.16
01/20 17,272.74
01/20 18,260.1
01/20 19,251.54
01/20 20,245.86
01/20 21,246.92
01/20 22,261.23
01/20 23,279.61
01/21 00,300.83
01/21 01,304.98
01/21 02,306.75
01/21 03,300.82
01/21 04,283.91
01/21 05,265.24
01/21 06,249.2
01/21 07,237.75
01/21 08,233.18
01/21 09,234.82
01/21 10,242.69
01/21 11,262.14
01/21 12,290.58
01/21 13,304.58
01/21 14,299.59
01/21 15,277.41
01/21 16,254.52
01/21 17,238.44
01/21 18,225.07
