ForeTime,Load
01/24 00,301.06
01/24 01,300.79
01/24 02,296.93
01/24 03,290.35
01/24 04,280.25
01/24 05,271.14
01/24 06,266.38
01/24 07,263.1
01/24 08,263.04
01/24 09,267.91
01/24 10,281.58
01/24 11,301.95
01/24 12,330.49
01/24 13,351.44
01/24 14,356.75
01/24 15,349.38
01/24 16,328.31
01/24 17,302.2
01/24 18,277.28
01/24 19,260.24
01/24 20,247.41
01/24 21,240.32
01/24 22,245.79
01/24 23,260.07
01/25 00,278.56
01/25 01,288.83
01/25 02,292.6
01/25 03,292.99
01/25 04,288.26
01/25 05,282.18
01/25 06,277.15
01/25 07,272.08
01/25 08,274.82
01/25 09,281.8
01/25 10,295.51
01/25 11,312.72
01/25 12,332.56
01/25 13,346.74
01/25 14,344.83
01/25 15,323.67
01/25 16,297.3
01/25 17,268.28
01/25 18,245.56
01/25 19,230.84
01/25 20,221.08
01/25 21,214.96
01/25 22,216.21
01/25 23,228.73
01/26 00,246.68
01/26 01,253.09
01/26 02,253.66
01/26 03,250.51
01/26 04,247.53
01/26 05,243.6
01/26 06,239.91
01/26 07,238.19
01/26 08,239.11
01/26 09,245.02
01/26 10,256.24
01/26 11,272.79
01/26 12,294.33
01/26 13,311.42
01/26 14,312.48
01/26 15,296.48
01/26 16,266.8
01/26 17,245.6
01/26 18,229.72
01/26 19,217.95
01/26 20,209.01
01/26 21,205.36
01/26 22,207.25
01/26 23,216.61
01/27 00,230.77
01/27 01,233.49
01/27 02,231.65
01/27 03,225.93
01/27 04,217.46
01/27 05,207.78
01/27 06,201.43
01/27 07,195.58
01/27 08,194.73
01/27 09,198.34
01/27 10,209.51
01/27 11,229.5
01/27 12,259.81
01/27 13,275.77
01/27 14,274.44
01/27 15,255.63
01/27 16,236.75
01/27 17,222.82
01/27 18,213.07
