ForeTime,Load
01/28 00,232.23
01/28 01,231.47
01/28 02,225.36
01/28 03,213.87
01/28 04,197.77
01/28 05,182.42
01/28 06,168.39
01/28 07,159.03
01/28 08,153.51
01/28 09,150.39
01/28 10,153.13
01/28 11,165.67
01/28 12,186.99
01/28 13,200.33
01/28 14,206.61
01/28 15,209.49
01/28 16,207.78
01/28 17,204.84
01/28 18,200.91
01/28 19,196.55
01/28 20,195.1
01/28 21,196.12
01/28 22,201.93
01/28 23,210.77
01/29 00,224.87
01/29 01,227.3
01/29 02,222.87
01/29 03,213.93
01/29 04,200.64
01/29 05,189.65
01/29 06,179.61
01/29 07,172.51
01/29 08,169.58
01/29 09,170.55
01/29 10,176.64
01/29 11,193.03
01/29 12,220.45
01/29 13,238.78
01/29 14,239.9
01/29 15,231.49
01/29 16,219.04
01/29 17,207.65
01/29 18,200.24
01/29 19,194.71
01/29 20,193.66
01/29 21,196.0
01/29 22,202.32
01/29 23,210.82
01/30 00,223.42
01/30 01,224.13
01/30 02,218.12
01/30 03,207.5
01/30 04,192.24
01/30 05,178.69
01/30 06,168.23
01/30 07,161.54
01/30 08,158.11
01/30 09,156.27
01/30 10,162.35
01/30 11,176.57
01/30 12,201.65
01/30 13,218.01
01/30 14,221.42
01/30 15,215.83
01/30 16,207.22
01/30 17,200.04
01/30 18,196.34
01/30 19,196.63
01/30 20,199.55
01/30 21,203.87
01/30 22,209.36
01/30 23,216.65
01/31 00,226.21
01/31 01,224.31
01/31 02,216.26
01/31 03,203.87
01/31 04,189.74
01/31 05,174.86
01/31 06,161.33
01/31 07,151.47
01/31 08,144.95
01/31 09,141.99
01/31 10,143.71
01/31 11,153.71
01/31 12,173.4
01/31 13,184.37
01/31 14,189.32
01/31 15,192.95
01/31 16,197.95
01/31 17,203.45
01/31 18,208.6
