ForeTime,Load
01/08 00,281.69
01/08 01,288.43
01/08 02,288.57
01/08 03,281.9
01/08 04,271.93
01/08 05,262.83
01/08 06,253.37
01/08 07,246.0
01/08 08,244.51
01/08 09,249.8
01/08 10,259.78
01/08 11,280.43
01/08 12,308.71
01/08 13,331.94
01/08 14,334.95
01/08 15,310.9
01/08 16,280.32
01/08 17,257.78
01/08 18,240.6
01/08 19,227.08
01/08 20,217.94
01/08 21,215.17
01/08 22,225.09
01/08 23,247.47
01/09 00,272.7
01/09 01,279.69
01/09 02,279.6
01/09 03,275.8
01/09 04,266.18
01/09 05,259.18
01/09 06,252.58
01/09 07,249.38
01/09 08,249.79
01/09 09,256.66
01/09 10,272.8
01/09 11,295.74
01/09 12,321.57
01/09 13,343.09
01/09 14,350.3
01/09 15,340.43
01/09 16,319.15
01/09 17,294.19
01/09 18,272.65
01/09 19,259.07
01/09 20,245.98
01/09 21,239.15
01/09 22,245.7
01/09 23,265.47
01/10 00,292.48
01/10 01,299.81
01/10 02,304.44
01/10 03,299.72
01/10 04,288.88
01/10 05,279.81
01/10 06,274.18
01/10 07,267.8
01/10 08,266.75
01/10 09,274.14
01/10 10,288.08
01/10 11,303.33
01/10 12,324.06
01/10 13,337.17
01/10 14,334.26
01/10 15,312.4
01/10 16,284.33
01/10 17,255.87
01/10 18,236.69
01/10 19,223.74
01/10 20,214.38
01/10 21,210.51
01/10 22,213.72
01/10 23,221.7
01/11 00,231.94
01/11 01,229.68
01/11 02,222.26
01/11 03,210.14
01/11 04,195.88
01/11 05,182.61
01/11 06,171.02
01/11 07,162.68
01/11 08,159.64
01/11 09,159.55
01/11 10,164.65
01/11 11,175.06
01/11 12,188.03
01/11 13,198.42
01/11 14,205.88
01/11 15,210.42
01/11 16,209.46
01/11 17,205.57
01/11 18,203.78
