ForeTime,Load
01/03 00,231.02
01/03 01,234.31
01/03 02,231.19
01/03 03,222.83
01/03 04,212.66
01/03 05,202.51
01/03 06,194.61
01/03 07,188.79
01/03 08,188.57
01/03 09,193.52
01/03 10,206.15
01/03 11,224.1
01/03 12,251.7
01/03 13,273.04
01/03 14,273.73
01/03 15,255.93
01/03 16,235.68
01/03 17,219.85
01/03 18,207.82
01/03 19,198.03
01/03 20,192.63
01/03 21,192.35
01/03 22,195.12
01/03 23,205.36
01/04 00,220.67
01/04 01,224.52
01/04 02,223.66
01/04 03,216.01
01/04 04,204.71
01/04 05,196.37
01/04 06,187.48
01/04 07,180.9
01/04 08,178.62
01/04 09,184.28
01/04 10,190.17
01/04 11,202.59
01/04 12,218.46
01/04 13,234.99
01/04 14,245.14
01/04 15,246.99
01/04 16,241.09
01/04 17,230.28
01/04 18,218.98
01/04 19,207.31
01/04 20,198.21
01/04 21,194.97
01/04 22,197.97
01/04 23,210.23
01/05 00,227.0
01/05 01,235.17
01/05 02,235.45
01/05 03,229.1
01/05 04,220.89
01/05 05,213.99
01/05 06,207.39
01/05 07,201.49
01/05 08,200.51
01/05 09,205.75
01/05 10,214.04
01/05 11,226.31
01/05 12,241.52
01/05 13,257.82
01/05 14,260.03
01/05 15,247.63
01/05 16,231.05
01/05 17,217.11
01/05 18,205.75
01/05 19,198.07
01/05 20,193.53
01/05 21,194.14
01/05 22,197.18
01/05 23,203.33
01/06 00,211.57
01/06 01,213.82
01/06 02,211.25
01/06 03,202.02
01/06 04,188.81
01/06 05,176.02
01/06 06,165.18
01/06 07,157.36
01/06 08,152.52
01/06 09,150.41
01/06 10,154.05
01/06 11,166.48
01/06 12,184.66
01/06 13,195.68
01/06 14,201.44
01/06 15,202.21
01/06 16,202.16
01/06 17,202.77
01/06 18,203.44
