ForeTime,Load
01/27 00,232.68
01/27 01,231.89
01/27 02,227.02
01/27 03,219.5
01/27 04,208.62
01/27 05,198.58
01/27 06,189.54
01/27 07,182.97
01/27 08,181.18
01/27 09,182.98
01/27 10,191.35
01/27 11,208.71
01/27 12,235.43
01/27 13,252.59
01/27 14,253.96
01/27 15,245.25
01/27 16,233.23
01/27 17,223.42
01/27 18,215.35
01/27 19,207.42
01/27 20,201.82
01/27 21,200.73
01/27 22,204.95
01/27 23,215.28
01/28 00,228.14
01/28 01,228.64
01/28 02,223.17
01/28 03,211.45
01/28 04,195.74
01/28 05,181.71
01/28 06,169.51
01/28 07,160.2
01/28 08,153.88
01/28 09,150.49
01/28 10,154.2
01/28 11,165.98
01/28 12,186.4
01/28 13,198.61
01/28 14,204.22
01/28 15,204.53
01/28 16,203.74
01/28 17,200.29
01/28 18,196.15
01/28 19,193.87
01/28 20,193.91
01/28 21,196.76
01/28 22,202.52
01/28 23,212.07
01/29 00,225.15
01/29 01,226.53
01/29 02,223.32
01/29 03,214.66
01/29 04,202.4
01/29 05,190.65
01/29 06,180.72
01/29 07,173.63
01/29 08,171.91
01/29 09,173.47
01/29 10,181.37
01/29 11,197.1
01/29 12,224.44
01/29 13,244.21
01/29 14,243.0
01/29 15,232.5
01/29 16,220.14
01/29 17,209.13
01/29 18,199.59
01/29 19,194.67
01/29 20,192.86
01/29 21,194.75
01/29 22,200.78
01/29 23,209.67
01/30 00,221.74
01/30 01,222.37
01/30 02,216.27
01/30 03,205.77
01/30 04,192.8
01/30 05,180.61
01/30 06,169.6
01/30 07,162.4
01/30 08,159.11
01/30 09,158.13
01/30 10,164.77
01/30 11,180.81
01/30 12,206.15
01/30 13,221.86
01/30 14,223.94
01/30 15,218.09
01/30 16,207.85
01/30 17,199.39
01/30 18,194.52
