ForeTime,Load
01/12 00,275.16
01/12 01,276.29
01/12 02,276.22
01/12 03,271.43
01/12 04,265.04
01/12 05,260.96
01/12 06,256.13
01/12 07,250.17
01/12 08,247.36
01/12 09,250.79
01/12 10,259.47
01/12 11,274.63
01/12 12,294.3
01/12 13,311.7
01/12 14,322.06
01/12 15,315.44
01/12 16,295.73
01/12 17,272.33
01/12 18,252.84
01/12 19,238.18
01/12 20,226.76
01/12 21,222.33
01/12 22,226.4
01/12 23,240.54
01/13 00,260.96
01/13 01,269.57
01/13 02,269.87
01/13 03,262.23
01/13 04,249.51
01/13 05,235.02
01/13 06,224.11
01/13 07,216.92
01/13 08,213.28
01/13 09,212.86
01/13 10,219.47
01/13 11,233.65
01/13 12,257.59
01/13 13,265.53
01/13 14,262.57
01/13 15,249.4
01/13 16,234.03
01/13 17,222.97
01/13 18,214.57
01/13 19,210.53
01/13 20,209.75
01/13 21,215.16
01/13 22,231.82
01/13 23,250.87
01/14 00,268.05
01/14 01,270.44
01/14 02,265.74
01/14 03,255.47
01/14 04,237.97
01/14 05,223.97
01/14 06,210.99
01/14 07,200.5
01/14 08,195.16
01/14 09,194.15
01/14 10,201.11
01/14 11,218.23
01/14 12,246.61
01/14 13,267.13
01/14 14,270.14
01/14 15,258.32
01/14 16,241.51
01/14 17,226.21
01/14 18,213.91
01/14 19,204.99
01/14 20,199.78
01/14 21,199.59
01/14 22,207.07
01/14 23,224.69
01/15 00,247.81
01/15 01,254.96
01/15 02,256.08
01/15 03,249.18
01/15 04,237.76
01/15 05,228.64
01/15 06,220.88
01/15 07,214.78
01/15 08,215.25
01/15 09,220.81
01/15 10,233.86
01/15 11,254.76
01/15 12,287.84
01/15 13,306.26
01/15 14,302.21
01/15 15,282.18
01/15 16,258.89
01/15 17,239.76
01/15 18,226.04
