ForeTime,Load
01/31 00,225.0
01/31 01,224.54
01/31 02,218.76
01/31 03,206.63
01/31 04,191.18
01/31 05,175.48
01/31 06,161.52
01/31 07,152.16
01/31 08,145.95
01/31 09,142.62
01/31 10,145.21
01/31 11,155.03
01/31 12,174.02
01/31 13,186.38
01/31 14,192.25
01/31 15,195.61
01/31 16,200.44
01/31 17,205.07
01/31 18,211.92
01/31 19,219.52
01/31 20,225.4
01/31 21,227.94
01/31 22,230.43
01/31 23,233.36
02/01 00,238.13
02/01 01,233.95
02/01 02,225.39
02/01 03,212.66
02/01 04,197.04
02/01 05,181.43
02/01 06,167.35
02/01 07,156.4
02/01 08,148.13
02/01 09,143.57
02/01 10,142.59
02/01 11,145.01
02/01 12,153.75
02/01 13,164.3
02/01 14,175.76
02/01 15,182.82
02/01 16,185.96
02/01 17,187.26
02/01 18,187.87
02/01 19,190.16
02/01 20,192.49
02/01 21,196.0
02/01 22,201.9
02/01 23,208.87
02/02 00,216.57
02/02 01,217.87
02/02 02,213.32
02/02 03,203.63
02/02 04,192.41
02/02 05,180.78
02/02 06,169.89
02/02 07,161.14
02/02 08,154.64
02/02 09,150.38
02/02 10,149.25
02/02 11,152.17
02/02 12,160.25
02/02 13,169.07
02/02 14,178.45
02/02 15,184.36
02/02 16,189.56
02/02 17,195.78
02/02 18,201.75
02/02 19,208.21
02/02 20,214.4
02/02 21,220.16
02/02 22,225.59
02/02 23,231.25
02/03 00,236.13
02/03 01,232.77
02/03 02,225.5
02/03 03,213.65
02/03 04,197.49
02/03 05,179.56
02/03 06,165.34
02/03 07,154.28
02/03 08,146.77
02/03 09,142.67
02/03 10,144.1
02/03 11,152.68
02/03 12,171.97
02/03 13,184.38
02/03 14,191.16
02/03 15,196.03
02/03 16,199.88
02/03 17,204.64
02/03 18,211.89
