ForeTime,Load
01/24 12,362.93
01/24 13,372.19
01/24 14,365.08
01/24 15,352.58
01/24 16,334.17
01/24 17,303.35
01/24 18,276.66
01/24 19,256.92
01/24 20,245.82
01/24 21,238.3
01/24 22,242.2
01/24 23,253.8
01/25 00,275.02
01/25 01,283.31
01/25 02,288.98
01/25 03,286.88
01/25 04,281.11
01/25 05,277.65
01/25 06,272.77
01/25 07,270.85
01/25 08,274.39
01/25 09,280.31
01/25 10,293.02
01/25 11,310.97
01/25 12,330.63
01/25 13,343.07
01/25 14,341.16
01/25 15,323.1
01/25 16,296.87
01/25 17,271.05
01/25 18,251.77
01/25 19,234.87
01/25 20,221.92
01/25 21,216.83
01/25 22,218.49
01/25 23,231.38
01/26 00,250.64
01/26 01,255.81
01/26 02,255.74
01/26 03,255.92
01/26 04,255.12
01/26 05,255.31
01/26 06,255.27
01/26 07,256.5
01/26 08,262.63
01/26 09,273.35
01/26 10,288.91
01/26 11,303.62
01/26 12,318.49
01/26 13,330.59
01/26 14,330.52
01/26 15,312.28
01/26 16,283.87
01/26 17,255.18
01/26 18,238.2
01/26 19,223.17
01/26 20,213.99
01/26 21,209.16
01/26 22,208.3
01/26 23,215.69
01/27 00,231.34
01/27 01,234.93
01/27 02,233.9
01/27 03,229.74
01/27 04,221.95
01/27 05,211.87
01/27 06,203.74
01/27 07,197.29
01/27 08,193.36
01/27 09,197.32
01/27 10,208.7
01/27 11,229.26
01/27 12,259.51
01/27 13,279.38
01/27 14,280.91
01/27 15,267.89
01/27 16,244.64
01/27 17,230.94
01/27 18,221.5
01/27 19,210.76
01/27 20,203.89
01/27 21,201.88
01/27 22,204.47
01/27 23,213.05
01/28 00,226.03
01/28 01,227.25
01/28 02,222.74
01/28 03,214.17
01/28 04,202.9
01/28 05,192.51
01/28 06,183.54
