ForeTime,Load
01/30 00,227.91
01/30 01,228.34
01/30 02,222.14
01/30 03,210.43
01/30 04,195.4
01/30 05,182.48
01/30 06,171.19
01/30 07,162.91
01/30 08,159.62
01/30 09,159.49
01/30 10,165.56
01/30 11,181.5
01/30 12,206.93
01/30 13,223.3
01/30 14,225.86
01/30 15,220.51
01/30 16,210.87
01/30 17,203.18
01/30 18,198.84
01/30 19,198.33
01/30 20,199.89
01/30 21,204.12
01/30 22,209.67
01/30 23,217.84
01/31 00,226.89
01/31 01,226.35
01/31 02,218.6
01/31 03,206.64
01/31 04,191.45
01/31 05,175.29
01/31 06,161.26
01/31 07,151.37
01/31 08,145.01
01/31 09,141.82
01/31 10,143.88
01/31 11,153.9
01/31 12,173.33
01/31 13,184.87
01/31 14,190.55
01/31 15,195.15
01/31 16,199.79
01/31 17,206.77
01/31 18,215.44
01/31 19,223.79
01/31 20,230.84
01/31 21,232.44
01/31 22,233.0
01/31 23,236.04
02/01 00,238.66
02/01 01,233.75
02/01 02,225.29
02/01 03,212.65
02/01 04,197.05
02/01 05,181.21
02/01 06,167.15
02/01 07,156.12
02/01 08,148.32
02/01 09,143.23
02/01 10,141.37
02/01 11,143.57
02/01 12,152.32
02/01 13,160.37
02/01 14,170.58
02/01 15,178.85
02/01 16,183.53
02/01 17,186.15
02/01 18,188.01
02/01 19,190.41
02/01 20,193.31
02/01 21,196.7
02/01 22,202.14
02/01 23,208.77
02/02 00,217.56
02/02 01,218.44
02/02 02,213.07
02/02 03,202.62
02/02 04,190.89
02/02 05,178.42
02/02 06,165.86
02/02 07,156.74
02/02 08,150.62
02/02 09,146.52
02/02 10,145.55
02/02 11,148.6
02/02 12,156.75
02/02 13,164.39
02/02 14,173.71
02/02 15,181.69
02/02 16,189.64
02/02 17,197.48
02/02 18,203.81
