ForeTime,Load
01/17 00,243.14
01/17 01,244.22
01/17 02,243.5
01/17 03,238.57
01/17 04,230.5
01/17 05,220.83
01/17 06,211.64
01/17 07,206.22
01/17 08,204.75
01/17 09,210.5
01/17 10,220.75
01/17 11,239.92
01/17 12,269.74
01/17 13,287.81
01/17 14,283.7
01/17 15,263.6
01/17 16,242.67
01/17 17,226.04
01/17 18,213.53
01/17 19,204.84
01/17 20,198.61
01/17 21,197.2
01/17 22,199.59
01/17 23,207.75
01/18 00,221.04
01/18 01,221.81
01/18 02,217.69
01/18 03,211.57
01/18 04,201.89
01/18 05,190.67
01/18 06,178.29
01/18 07,168.36
01/18 08,161.85
01/18 09,158.06
01/18 10,156.81
01/18 11,162.4
01/18 12,172.24
01/18 13,184.52
01/18 14,192.94
01/18 15,198.79
01/18 16,203.02
01/18 17,207.49
01/18 18,210.18
01/18 19,210.77
01/18 20,211.57
01/18 21,211.21
01/18 22,212.29
01/18 23,216.0
01/19 00,224.04
01/19 01,222.33
01/19 02,215.02
01/19 03,203.56
01/19 04,190.2
01/19 05,177.34
01/19 06,165.42
01/19 07,156.22
01/19 08,149.47
01/19 09,144.81
01/19 10,143.76
01/19 11,146.72
01/19 12,155.88
01/19 13,164.13
01/19 14,175.93
01/19 15,184.95
01/19 16,189.9
01/19 17,193.34
01/19 18,195.63
01/19 19,198.84
01/19 20,201.48
01/19 21,204.47
01/19 22,210.13
01/19 23,218.51
01/20 00,229.03
01/20 01,227.11
01/20 02,219.83
01/20 03,208.77
01/20 04,194.78
01/20 05,181.77
01/20 06,173.02
01/20 07,169.03
01/20 08,167.92
01/20 09,171.83
01/20 10,182.98
01/20 11,203.5
01/20 12,232.3
01/20 13,253.57
01/20 14,270.59
01/20 15,282.63
01/20 16,283.7
01/20 17,272.39
01/20 18,258.46
