ForeTime,Load
01/16 00,267.83
01/16 01,272.13
01/16 02,268.78
01/16 03,259.68
01/16 04,248.25
01/16 05,234.04
01/16 06,222.77
01/16 07,216.01
01/16 08,214.62
01/16 09,217.43
01/16 10,226.18
01/16 11,244.67
01/16 12,271.33
01/16 13,283.1
01/16 14,277.36
01/16 15,262.13
01/16 16,243.04
01/16 17,227.5
01/16 18,217.13
01/16 19,208.47
01/16 20,201.69
01/16 21,199.87
01/16 22,204.47
01/16 23,218.62
01/17 00,236.66
01/17 01,240.26
01/17 02,240.07
01/17 03,235.73
01/17 04,227.36
01/17 05,217.79
01/17 06,210.36
01/17 07,204.11
01/17 08,202.4
01/17 09,205.16
01/17 10,216.1
01/17 11,235.14
01/17 12,262.76
01/17 13,283.05
01/17 14,280.69
01/17 15,262.93
01/17 16,239.31
01/17 17,223.97
01/17 18,211.61
01/17 19,202.56
01/17 20,196.7
01/17 21,195.12
01/17 22,197.95
01/17 23,206.56
01/18 00,220.42
01/18 01,223.37
01/18 02,221.16
01/18 03,214.06
01/18 04,204.24
01/18 05,194.48
01/18 06,184.92
01/18 07,178.38
01/18 08,173.04
01/18 09,170.07
01/18 10,170.22
01/18 11,176.61
01/18 12,187.58
01/18 13,197.53
01/18 14,203.8
01/18 15,206.16
01/18 16,205.23
01/18 17,203.69
01/18 18,202.46
01/18 19,200.07
01/18 20,198.62
01/18 21,199.96
01/18 22,203.61
01/18 23,210.18
01/19 00,217.9
01/19 01,217.46
01/19 02,212.03
01/19 03,201.6
01/19 04,188.24
01/19 05,175.97
01/19 06,164.39
01/19 07,156.19
01/19 08,150.74
01/19 09,146.96
01/19 10,145.88
01/19 11,149.99
01/19 12,158.65
01/19 13,167.75
01/19 14,179.45
01/19 15,187.05
01/19 16,190.87
01/19 17,193.88
01/19 18,196.23
