ForeTime,Load
01/06 00,215.26
01/06 01,216.23
01/06 02,212.34
01/06 03,203.73
01/06 04,192.44
01/06 05,178.48
01/06 06,167.07
01/06 07,159.6
01/06 08,156.15
01/06 09,153.68
01/06 10,157.83
01/06 11,171.09
01/06 12,189.37
01/06 13,198.58
01/06 14,202.97
01/06 15,203.58
01/06 16,203.4
01/06 17,202.34
01/06 18,200.92
01/06 19,200.48
01/06 20,199.78
01/06 21,202.11
01/06 22,206.84
01/06 23,215.06
01/07 00,226.95
01/07 01,225.62
01/07 02,219.94
01/07 03,211.55
01/07 04,201.81
01/07 05,193.44
01/07 06,185.7
01/07 07,181.73
01/07 08,184.09
01/07 09,190.5
01/07 10,201.26
01/07 11,220.67
01/07 12,251.57
01/07 13,273.33
01/07 14,284.76
01/07 15,283.71
01/07 16,269.31
01/07 17,258.41
01/07 18,245.73
01/07 19,234.48
01/07 20,227.96
01/07 21,227.94
01/07 22,239.84
01/07 23,261.29
01/08 00,283.85
01/08 01,287.09
01/08 02,285.53
01/08 03,277.65
01/08 04,267.31
01/08 05,259.56
01/08 06,254.12
01/08 07,248.82
01/08 08,248.39
01/08 09,252.56
01/08 10,262.52
01/08 11,281.04
01/08 12,307.86
01/08 13,330.6
01/08 14,333.2
01/08 15,309.3
01/08 16,280.33
01/08 17,256.09
01/08 18,238.04
01/08 19,223.73
01/08 20,214.54
01/08 21,212.45
01/08 22,220.46
01/08 23,240.78
01/09 00,263.4
01/09 01,268.36
01/09 02,267.4
01/09 03,264.09
01/09 04,258.78
01/09 05,253.46
01/09 06,247.08
01/09 07,241.69
01/09 08,240.45
01/09 09,247.28
01/09 10,263.32
01/09 11,287.21
01/09 12,314.98
01/09 13,336.49
01/09 14,341.63
01/09 15,326.55
01/09 16,300.86
01/09 17,278.5
01/09 18,258.6
