ForeTime,Load
01/13 00,266.9
01/13 01,269.75
01/13 02,265.41
01/13 03,255.4
01/13 04,240.11
01/13 05,226.61
01/13 06,216.03
01/13 07,207.05
01/13 08,202.58
01/13 09,203.56
01/13 10,209.53
01/13 11,223.83
01/13 12,248.93
01/13 13,259.2
01/13 14,257.13
01/13 15,248.46
01/13 16,238.57
01/13 17,235.02
01/13 18,233.62
01/13 19,233.21
01/13 20,237.44
01/13 21,244.68
01/13 22,263.08
01/13 23,278.06
01/14 00,292.21
01/14 01,290.88
01/14 02,284.18
01/14 03,270.99
01/14 04,250.95
01/14 05,231.77
01/14 06,219.12
01/14 07,210.93
01/14 08,208.11
01/14 09,210.16
01/14 10,219.6
01/14 11,240.62
01/14 12,273.36
01/14 13,294.14
01/14 14,290.95
01/14 15,273.86
01/14 16,252.38
01/14 17,235.88
01/14 18,222.95
01/14 19,213.71
01/14 20,207.26
01/14 21,205.8
01/14 22,212.39
01/14 23,230.46
01/15 00,250.92
01/15 01,254.97
01/15 02,255.57
01/15 03,250.37
01/15 04,238.71
01/15 05,229.9
01/15 06,221.33
01/15 07,214.76
01/15 08,214.47
01/15 09,218.45
01/15 10,232.23
01/15 11,254.39
01/15 12,286.88
01/15 13,307.8
01/15 14,304.25
01/15 15,280.66
01/15 16,258.37
01/15 17,240.63
01/15 18,226.39
01/15 19,214.44
01/15 20,205.84
01/15 21,203.04
01/15 22,207.45
01/15 23,223.26
01/16 00,244.94
01/16 01,249.35
01/16 02,248.64
01/16 03,242.11
01/16 04,232.42
01/16 05,222.79
01/16 06,215.26
01/16 07,208.74
01/16 08,208.33
01/16 09,213.15
01/16 10,225.61
01/16 11,246.35
01/16 12,270.85
01/16 13,281.22
01/16 14,273.54
01/16 15,257.9
01/16 16,243.58
01/16 17,230.44
01/16 18,220.38
