ForeTime,Load
01/22 00,331.16
01/22 01,323.57
01/22 02,318.93
01/22 03,313.57
01/22 04,302.73
01/22 05,290.85
01/22 06,280.21
01/22 07,275.31
01/22 08,276.96
01/22 09,282.38
01/22 10,295.78
01/22 11,315.21
01/22 12,339.67
01/22 13,355.9
01/22 14,356.88
01/22 15,339.61
01/22 16,317.19
01/22 17,295.57
01/22 18,273.9
01/22 19,259.78
01/22 20,251.16
01/22 21,249.54
01/22 22,263.5
01/22 23,282.18
01/23 00,307.06
01/23 01,316.54
01/23 02,318.05
01/23 03,310.96
01/23 04,295.99
01/23 05,286.08
01/23 06,278.14
01/23 07,272.29
01/23 08,274.48
01/23 09,281.11
01/23 10,296.5
01/23 11,312.46
01/23 12,333.56
01/23 13,344.08
01/23 14,338.32
01/23 15,322.06
01/23 16,302.32
01/23 17,281.57
01/23 18,261.57
01/23 19,246.67
01/23 20,237.19
01/23 21,233.49
01/23 22,244.22
01/23 23,255.64
01/24 00,273.11
01/24 01,276.34
01/24 02,272.61
01/24 03,264.6
01/24 04,258.16
01/24 05,253.75
01/24 06,249.55
01/24 07,246.41
01/24 08,246.78
01/24 09,256.29
01/24 10,272.8
01/24 11,295.87
01/24 12,322.23
01/24 13,341.2
01/24 14,349.96
01/24 15,339.04
01/24 16,314.1
01/24 17,287.07
01/24 18,263.9
01/24 19,248.06
01/24 20,235.9
01/24 21,228.54
01/24 22,236.5
01/24 23,252.91
01/25 00,272.23
01/25 01,283.87
01/25 02,290.61
01/25 03,289.47
01/25 04,283.69
01/25 05,279.19
01/25 06,272.91
01/25 07,269.46
01/25 08,271.03
01/25 09,279.39
01/25 10,296.22
01/25 11,313.09
01/25 12,331.31
01/25 13,344.72
01/25 14,343.81
01/25 15,320.39
01/25 16,293.18
01/25 17,267.54
01/25 18,247.26
