ForeTime,Load
01/04 00,222.29
01/04 01,223.72
01/04 02,220.89
01/04 03,213.14
01/04 04,202.53
01/04 05,192.85
01/04 06,184.06
01/04 07,179.29
01/04 08,177.0
01/04 09,178.04
01/04 10,182.99
01/04 11,195.92
01/04 12,212.72
01/04 13,231.21
01/04 14,240.19
01/04 15,242.57
01/04 16,236.62
01/04 17,226.41
01/04 18,214.05
01/04 19,203.24
01/04 20,195.37
01/04 21,192.78
01/04 22,197.17
01/04 23,209.78
01/05 00,227.62
01/05 01,235.61
01/05 02,237.09
01/05 03,233.24
01/05 04,225.37
01/05 05,219.27
01/05 06,213.57
01/05 07,210.38
01/05 08,210.41
01/05 09,214.66
01/05 10,223.26
01/05 11,237.17
01/05 12,253.48
01/05 13,271.82
01/05 14,272.9
01/05 15,257.77
01/05 16,237.97
01/05 17,222.16
01/05 18,210.91
01/05 19,201.55
01/05 20,195.12
01/05 21,193.17
01/05 22,196.05
01/05 23,203.1
01/06 00,212.51
01/06 01,215.2
01/06 02,211.42
01/06 03,203.21
01/06 04,192.14
01/06 05,180.34
01/06 06,168.92
01/06 07,161.15
01/06 08,156.51
01/06 09,154.36
01/06 10,157.82
01/06 11,170.71
01/06 12,190.66
01/06 13,202.64
01/06 14,206.63
01/06 15,206.35
01/06 16,204.53
01/06 17,207.68
01/06 18,209.43
01/06 19,208.41
01/06 20,205.71
01/06 21,204.65
01/06 22,208.8
01/06 23,216.97
01/07 00,227.87
01/07 01,226.39
01/07 02,221.67
01/07 03,216.27
01/07 04,206.12
01/07 05,198.48
01/07 06,191.89
01/07 07,188.97
01/07 08,191.02
01/07 09,197.56
01/07 10,212.16
01/07 11,232.64
01/07 12,262.81
01/07 13,282.86
01/07 14,291.69
01/07 15,291.5
01/07 16,279.36
01/07 17,262.96
01/07 18,246.24
