ForeTime,Load
01/15 00,254.59
01/15 01,258.32
01/15 02,257.26
01/15 03,248.28
01/15 04,233.8
01/15 05,222.18
01/15 06,213.65
01/15 07,208.46
01/15 08,207.44
01/15 09,211.19
01/15 10,221.97
01/15 11,244.65
01/15 12,273.88
01/15 13,285.35
01/15 14,276.09
01/15 15,259.48
01/15 16,240.98
01/15 17,227.78
01/15 18,216.34
01/15 19,206.27
01/15 20,199.12
01/15 21,197.83
01/15 22,205.34
01/15 23,223.27
01/16 00,243.3
01/16 01,247.71
01/16 02,247.28
01/16 03,239.29
01/16 04,227.85
01/16 05,217.42
01/16 06,208.38
01/16 07,202.71
01/16 08,200.64
01/16 09,203.58
01/16 10,212.95
01/16 11,230.83
01/16 12,255.4
01/16 13,266.0
01/16 14,262.71
01/16 15,249.65
01/16 16,233.84
01/16 17,220.4
01/16 18,208.75
01/16 19,200.04
01/16 20,194.79
01/16 21,194.31
01/16 22,198.08
01/16 23,207.98
01/17 00,223.96
01/17 01,228.72
01/17 02,229.0
01/17 03,223.8
01/17 04,214.31
01/17 05,204.69
01/17 06,197.35
01/17 07,190.91
01/17 08,190.94
01/17 09,195.24
01/17 10,205.73
01/17 11,225.2
01/17 12,255.44
01/17 13,277.37
01/17 14,277.17
01/17 15,259.83
01/17 16,238.73
01/17 17,223.84
01/17 18,210.69
01/17 19,200.81
01/17 20,194.2
01/17 21,192.36
01/17 22,194.1
01/17 23,202.24
01/18 00,216.42
01/18 01,221.42
01/18 02,219.43
01/18 03,212.46
01/18 04,204.22
01/18 05,196.28
01/18 06,188.61
01/18 07,184.25
01/18 08,182.97
01/18 09,183.93
01/18 10,188.55
01/18 11,199.03
01/18 12,210.48
01/18 13,218.78
01/18 14,219.22
01/18 15,212.96
01/18 16,207.18
01/18 17,202.19
01/18 18,199.23
