ForeTime,Load
01/10 00,293.32
01/10 01,301.76
01/10 02,303.34
01/10 03,299.87
01/10 04,289.05
01/10 05,277.69
01/10 06,268.82
01/10 07,263.16
01/10 08,263.13
01/10 09,267.98
01/10 10,282.29
01/10 11,302.18
01/10 12,323.54
01/10 13,334.47
01/10 14,327.7
01/10 15,303.85
01/10 16,274.63
01/10 17,249.41
01/10 18,231.31
01/10 19,217.49
01/10 20,207.11
01/10 21,203.04
01/10 22,203.07
01/10 23,207.13
01/11 00,215.09
01/11 01,216.35
01/11 02,211.32
01/11 03,201.04
01/11 04,188.84
01/11 05,177.54
01/11 06,168.27
01/11 07,162.56
01/11 08,159.96
01/11 09,159.47
01/11 10,163.7
01/11 11,173.66
01/11 12,187.27
01/11 13,201.26
01/11 14,214.9
01/11 15,222.38
01/11 16,226.37
01/11 17,227.29
01/11 18,226.12
01/11 19,225.37
01/11 20,224.75
01/11 21,224.65
01/11 22,231.73
01/11 23,244.91
01/12 00,261.36
01/12 01,264.35
01/12 02,261.59
01/12 03,253.64
01/12 04,245.14
01/12 05,237.97
01/12 06,230.0
01/12 07,224.23
01/12 08,223.47
01/12 09,225.87
01/12 10,233.26
01/12 11,248.62
01/12 12,271.1
01/12 13,289.09
01/12 14,294.47
01/12 15,281.39
01/12 16,260.75
01/12 17,242.82
01/12 18,227.85
01/12 19,216.57
01/12 20,209.11
01/12 21,206.54
01/12 22,210.18
01/12 23,221.61
01/13 00,239.03
01/13 01,240.04
01/13 02,235.76
01/13 03,229.68
01/13 04,219.62
01/13 05,207.99
01/13 06,196.84
01/13 07,187.56
01/13 08,183.8
01/13 09,184.61
01/13 10,190.7
01/13 11,207.17
01/13 12,233.77
01/13 13,251.37
01/13 14,256.99
01/13 15,256.62
01/13 16,251.15
01/13 17,242.27
01/13 18,237.76
