ForeTime,Load
01/20 00,219.97
01/20 01,221.23
01/20 02,214.83
01/20 03,205.47
01/20 04,194.74
01/20 05,184.81
01/20 06,177.64
01/20 07,173.29
01/20 08,173.09
01/20 09,177.55
01/20 10,188.39
01/20 11,207.59
01/20 12,236.38
01/20 13,257.72
01/20 14,274.85
01/20 15,286.8
01/20 16,283.79
01/20 17,269.88
01/20 18,259.01
01/20 19,248.71
01/20 20,241.2
01/20 21,239.89
01/20 22,252.44
01/20 23,271.1
01/21 00,293.58
01/21 01,302.16
01/21 02,304.9
01/21 03,301.37
01/21 04,284.29
01/21 05,273.38
01/21 06,259.73
01/21 07,249.98
01/21 08,245.28
01/21 09,247.84
01/21 10,257.5
01/21 11,272.04
01/21 12,294.04
01/21 13,310.42
01/21 14,310.06
01/21 15,292.34
01/21 16,267.73
01/21 17,250.46
01/21 18,236.69
01/21 19,226.04
01/21 20,217.64
01/21 21,215.74
01/21 22,223.59
01/21 23,238.26
01/22 00,256.57
01/22 01,264.77
01/22 02,268.58
01/22 03,272.06
01/22 04,269.46
01/22 05,264.89
01/22 06,261.54
01/22 07,259.96
01/22 08,262.08
01/22 09,270.27
01/22 10,286.77
01/22 11,309.17
01/22 12,336.46
01/22 13,352.09
01/22 14,353.65
01/22 15,341.09
01/22 16,321.41
01/22 17,294.59
01/22 18,274.58
01/22 19,262.36
01/22 20,249.35
01/22 21,245.06
01/22 22,253.6
01/22 23,272.83
01/23 00,295.26
01/23 01,302.0
01/23 02,303.37
01/23 03,295.42
01/23 04,280.94
01/23 05,269.33
01/23 06,262.37
01/23 07,257.02
01/23 08,255.5
01/23 09,261.74
01/23 10,277.54
01/23 11,297.68
01/23 12,323.69
01/23 13,334.51
01/23 14,328.9
01/23 15,310.02
01/23 16,288.58
01/23 17,265.48
01/23 18,249.38
